id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime,forecast_w,forecast_d,forecast_l
16756,True,94,Verona,VER,104,Sassuolo,SAS,2,3,2.25155,1.86679,2021-08-21 16:30:00,0.4794,0.2373,0.2833
16757,True,106,Inter,INT,101,Genoa,GEN,4,0,2.20707,0.967177,2021-08-21 16:30:00,0.6827,0.1915,0.1258
16758,True,113,Torino,TOR,107,Atalanta,ATA,1,2,0.864837,1.01343,2021-08-21 18:45:00,0.2754,0.3239,0.4007
16759,True,108,Empoli,EMP,96,Lazio,LAZ,1,3,1.13436,1.78152,2021-08-21 18:45:00,0.1918,0.2578,0.5504
16760,True,97,Bologna,BOL,264,Salernitana,SAL,3,2,1.72577,1.63711,2021-08-22 16:30:00,0.3852,0.2735,0.3413
16761,True,99,Udinese,UDI,98,Juventus,JUV,2,2,2.08573,1.49379,2021-08-22 16:30:00,0.533,0.2416,0.2254
16762,True,105,Napoli,NAP,265,Venezia,VEN,2,0,2.39159,0.60988,2021-08-22 18:45:00,0.859,0.1125,0.0285
16763,True,95,Roma,ROM,110,Fiorentina,FIO,3,1,2.75414,0.867167,2021-08-22 18:45:00,0.8324,0.1201,0.0475
16764,True,116,Cagliari,CAG,260,Spezia,SPE,2,2,3.28935,1.03088,2021-08-23 16:30:00,0.8844,0.0862,0.0294
16765,True,102,Sampdoria,SAM,111,AC Milan,MIL,0,1,1.24757,0.804449,2021-08-23 18:45:00,0.4831,0.3076,0.2093
16766,True,99,Udinese,UDI,265,Venezia,VEN,3,0,3.01783,0.908926,2021-08-27 16:30:00,0.854,0.0999,0.0461
16767,True,94,Verona,VER,106,Inter,INT,1,3,0.603998,1.8369,2021-08-27 18:45:00,0.0839,0.2084,0.7077
16768,True,96,Lazio,LAZ,260,Spezia,SPE,6,1,2.71713,0.735352,2021-08-28 16:30:00,0.8595,0.1155,0.025
16769,True,107,Atalanta,ATA,97,Bologna,BOL,0,0,0.989249,0.41987,2021-08-28 16:30:00,0.492,0.3641,0.1439
16770,True,110,Fiorentina,FIO,113,Torino,TOR,2,1,0.53999,0.293784,2021-08-28 18:45:00,0.3352,0.5042,0.1606
16771,True,98,Juventus,JUV,108,Empoli,EMP,0,1,1.81566,1.10327,2021-08-28 18:45:00,0.5624,0.2663,0.1713
16772,True,104,Sassuolo,SAS,102,Sampdoria,SAM,0,0,1.22815,0.577075,2021-08-29 16:30:00,0.5247,0.311,0.1643
16773,True,101,Genoa,GEN,105,Napoli,NAP,1,2,0.339332,1.15407,2021-08-29 16:30:00,0.0936,0.3012,0.6052
16774,True,111,AC Milan,MIL,116,Cagliari,CAG,4,1,2.67169,0.406709,2021-08-29 18:45:00,0.9037,0.0776,0.0187
16775,True,264,Salernitana,SAL,95,Roma,ROM,0,4,0.221399,1.88679,2021-08-29 18:45:00,0.0324,0.1577,0.8099
