Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-31 19:45:00,5153,(H) Palermo,(V) Sampdoria,1,1,0.922943,0.803464,10,9.8750,10,9.9049,10,9.8451
2014-09-15 19:45:00,5118,(V) Palermo,(H) Verona,1,2,1.38681,2.10454,9.875,9.7500,9.9049,9.8505,9.8451,9.8995
2014-09-21 19:45:00,5128,(H) Palermo,(V) Inter,1,1,0.584764,0.477134,9.75,9.6875,9.8505,9.8149,9.8995,9.8101
2014-09-24 19:45:00,5135,(V) Palermo,(H) Napoli,3,3,1.11014,1.53135,9.6875,9.8750,9.8149,9.8971,9.8101,10.1029
2014-09-29 20:00:00,5148,(H) Palermo,(V) Lazio,0,4,1.5751,2.43959,9.875,8.8594,9.8971,9.6654,10.1029,9.3034
2014-10-05 11:30:00,5071,(V) Palermo,(H) Empoli,0,3,0.319965,1.99387,8.8594,8.2032,9.6654,9.3407,9.3034,9.0656
2014-10-19 14:00:00,5082,(H) Palermo,(V) Cesena,2,1,0.995603,1.13078,8.2032,8.3868,9.3407,9.2405,9.0656,9.2830
2014-10-26 14:00:00,5093,(V) Palermo,(H) Juventus,0,2,0.1661,1.59355,8.3868,8.9688,9.2405,9.9657,9.283,10.2219
2014-10-29 19:45:00,5102,(H) Palermo,(V) Chievo,1,0,1.42598,0.444825,8.9688,9.2696,9.9657,10.2618,10.2219,10.2774
2014-11-02 19:45:00,5037,(V) Palermo,(H) AC Milan,2,0,1.65067,1.12159,9.2696,10.3672,10.2618,10.9917,10.2774,11.2428
2014-11-09 14:00:00,5046,(H) Palermo,(V) Udinese,1,1,2.91017,1.38613,10.3672,10.3037,10.9917,11.3092,11.2428,10.7983
2014-11-24 19:45:00,5059,(V) Palermo,(H) Genoa,1,1,1.58439,1.51548,10.3037,10.6450,11.3092,11.6678,10.7983,11.1224
2014-11-30 14:00:00,5064,(H) Palermo,(V) Parma,2,1,1.43758,1.4149,10.645,10.1683,11.6678,10.9467,11.1224,10.6400
2014-12-06 19:45:00,5002,(V) Palermo,(H) Torino,2,2,0.265528,0.996123,10.1683,9.9497,10.9467,10.5455,10.64,10.6041
2014-12-13 17:00:00,5010,(H) Palermo,(V) Sassuolo,2,1,1.84591,0.810735,9.9497,10.0908,10.5455,10.6954,10.6041,10.4864
2014-12-21 14:00:00,5027,(V) Palermo,(H) Atalanta,3,3,1.04151,1.97467,10.0908,10.1703,10.6954,10.5417,10.4864,10.7992
2015-01-06 14:00:00,4960,(H) Palermo,(V) Cagliari,5,0,3.19476,0.984483,10.1703,10.8322,10.5417,10.5062,10.7992,10.9086
2015-01-11 14:00:00,4972,(V) Palermo,(H) Fiorentina,3,4,1.64206,2.813,10.8322,11.0832,10.5062,10.7145,10.9086,11.4524
2015-01-17 19:45:00,4978,(H) Palermo,(V) Roma,1,1,1.01386,0.908051,11.0832,10.9176,10.7145,10.5754,11.4524,11.2603
2015-01-25 14:00:00,4989,(V) Palermo,(H) Sampdoria,1,1,0.985018,1.16405,10.9176,10.7666,10.5754,10.3796,11.2603,11.1540
2015-02-01 14:00:00,4924,(H) Palermo,(V) Verona,2,1,1.35764,0.471866,10.7666,10.4597,10.3796,10.0442,11.154,10.6257
2015-02-08 19:45:00,4934,(V) Palermo,(H) Inter,0,3,1.03268,0.855097,10.4597,9.7509,10.0442,10.1298,10.6257,9.8725
2015-02-14 19:45:00,4938,(H) Palermo,(V) Napoli,3,1,0.911378,0.362823,9.7509,10.1462,10.1298,10.1622,9.8725,10.1307
2015-02-22 14:00:00,4950,(V) Palermo,(H) Lazio,1,2,0.991252,1.17258,10.1462,9.9464,10.1622,10.1671,10.1307,9.9763
2015-03-01 14:00:00,4882,(H) Palermo,(V) Empoli,0,0,1.15896,1.18531,9.9464,9.8389,10.1671,10.0530,9.9763,9.8754
2015-03-08 11:30:00,4891,(V) Palermo,(H) Cesena,0,0,0.275999,0.0514277,9.8389,9.8478,10.053,10.1180,9.8754,9.8281
2015-03-14 17:00:00,4899,(H) Palermo,(V) Juventus,0,1,0.247164,0.510054,9.8478,9.6439,10.118,10.0984,9.8281,9.6899
2015-03-21 17:00:00,4909,(V) Palermo,(H) Chievo,0,1,1.25955,1.78719,9.6439,9.3265,10.0984,9.8991,9.6899,9.5044
2015-04-04 14:00:00,4832,(H) Palermo,(V) AC Milan,1,2,1.82986,1.72116,9.3265,9.0351,9.8991,9.8849,9.5044,9.1858
2015-04-12 14:00:00,4846,(V) Palermo,(H) Udinese,3,1,1.86145,0.44846,9.0351,9.8317,9.8849,10.5347,9.1858,9.6292
