Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-02 13:30:00,6418,Mordovya,Ural,3,2,10,10.3750,10,10.3748,10,10.1252
2014-08-09 10:30:00,6427,Mordovya,CSKA Moscow,0,1,10.375,10.0000,10.3748,9.9726,10.1252,10.0274
2014-08-15 17:00:00,6440,Mordovya,Kuban Krasnodar,0,0,10.0,9.8750,9.9726,9.8699,10.0274,9.8801
2014-08-18 17:00:00,6447,Mordovya,FK Akhmat,0,1,9.875,9.9375,9.8699,10.0479,9.8801,10.0771
2014-08-24 18:30:00,6456,Mordovya,FC Rostov,1,2,9.9375,9.6719,10.0479,10.0205,10.0771,9.8233
2014-08-30 11:00:00,6458,Mordovya,Torpedo Moscow,1,0,9.6719,9.4688,10.0205,9.2378,9.8233,9.9497
2014-09-13 13:00:00,6394,Mordovya,Lokomotiv Moscow,1,1,9.4688,9.6875,9.2378,9.1080,9.9497,10.5170
2014-09-19 17:00:00,6401,Mordovya,Arsenal Tula,1,0,9.6875,9.7890,9.108,8.9109,10.517,10.6672
2014-09-27 13:00:00,6410,Mordovya,FC Ufa,0,2,9.789,9.4883,8.9109,8.9189,10.6672,10.5577
2014-10-20 16:30:00,6383,Mordovya,Rubin Kazan,0,5,9.4883,8.4600,8.9189,8.4247,10.5577,10.2453
2014-10-26 16:00:00,6389,Mordovya,Zenit St. Petersburg,0,5,8.46,7.8321,8.4247,8.4134,10.2453,10.2507
2014-11-02 13:30:00,6348,Mordovya,FC Krasnodar,2,1,7.8321,8.5362,8.4134,9.0391,10.2507,10.7832
2014-11-08 10:00:00,6354,Mordovya,Amkar,1,0,8.5362,9.2996,9.0391,9.7662,10.7832,11.3329
2014-11-23 15:30:00,6367,Mordovya,Spartak Moscow,2,4,9.2996,9.2561,9.7662,10.0666,11.3329,11.4456
2014-11-29 15:00:00,6372,Mordovya,Zenit St. Petersburg,1,0,9.2561,9.8343,10.0666,10.3920,11.4456,12.0266
2014-12-04 14:45:00,6336,Mordovya,Dinamo Moscow,0,1,9.8343,9.8643,10.392,10.7095,12.0266,12.0191
2014-12-08 14:00:00,6342,Mordovya,Rubin Kazan,0,1,9.8643,9.7036,10.7095,10.6053,12.0191,12.0519
2015-03-09 15:00:00,6313,Mordovya,Kuban Krasnodar,0,0,9.7036,9.9125,10.6053,10.3336,12.0519,12.7415
2015-03-14 13:00:00,6316,Mordovya,CSKA Moscow,0,4,9.9125,9.3097,10.3336,10.3603,12.7415,12.5093
2015-03-22 13:00:00,6328,Mordovya,Lokomotiv Moscow,0,0,9.3097,9.2935,10.3603,10.2018,12.5093,12.6354
2015-04-04 14:45:00,6267,Mordovya,FC Krasnodar,0,4,9.2935,8.6281,10.2018,9.6493,12.6354,12.8570
2015-04-07 15:45:00,6273,Mordovya,Amkar,1,0,8.6281,8.6823,9.6493,9.5212,12.857,12.8436
2015-04-12 16:30:00,6284,Mordovya,Dinamo Moscow,1,2,8.6823,8.9909,9.5212,9.8184,12.8436,13.4136
2015-04-18 14:00:00,6290,Mordovya,Spartak Moscow,1,3,8.9909,8.6802,9.8184,9.5120,13.4136,13.5986
2015-04-24 17:00:00,6298,Mordovya,Ural,2,1,8.6802,9.1420,9.512,9.9699,13.5986,13.8143
2015-05-04 11:00:00,6230,Mordovya,FC Ufa,2,1,9.142,9.5153,9.9699,10.3106,13.8143,13.9701
2015-05-11 14:00:00,6239,Mordovya,Arsenal Tula,1,0,9.5153,9.8617,10.3106,10.2358,13.9701,14.4876
2015-05-15 17:00:00,6241,Mordovya,FC Rostov,0,0,9.8617,9.8594,10.2358,10.0837,14.4876,14.6350
2015-05-24 14:00:00,6253,Mordovya,FK Akhmat,1,0,9.8594,10.2408,10.0837,10.3518,14.635,14.8796
2015-05-30 11:30:00,6263,Mordovya,Torpedo Moscow,0,2,10.2408,9.9793,10.3518,10.1240,14.8796,15.0844
2015-07-19 19:00:00,2353,Mordovya,Lokomotiv Moscow,0,1,9.9793,9.5395,10.124,9.9191,15.0844,14.6597
2015-07-25 19:30:00,2359,Mordovya,Dinamo Moscow,2,2,9.5395,9.5151,9.9191,9.8532,14.6597,14.6768
2015-08-02 18:00:00,2370,Mordovya,Ural,1,1,9.5151,9.7225,9.8532,9.7675,14.6768,15.1773
2015-08-07 20:00:00,2373,Mordovya,FK Akhmat,0,0,9.7225,9.8510,9.7675,9.7261,15.1773,15.4756
2015-08-17 20:00:00,2388,Mordovya,FC Ufa,0,1,9.851,9.4201,9.7261,9.7212,15.4756,14.8687
2015-08-23 21:00:00,2394,Mordovya,FC Krasnodar,0,0,9.4201,9.5133,9.7212,9.5110,14.8687,15.2654
2015-08-30 18:00:00,2403,Mordovya,Rubin Kazan,2,1,9.5133,9.5468,9.511,9.9526,15.2654,14.6409
2015-09-14 19:30:00,2412,Mordovya,Krylya Sovetov Samara,0,1,9.5468,9.6002,9.9526,10.1034,14.6409,14.8470
2015-09-20 14:30:00,2416,Mordovya,CSKA Moscow,4,6,9.6002,9.4070,10.1034,10.4655,14.847,14.5985
2015-09-28 17:30:00,2427,Mordovya,Amkar,1,2,9.407,9.1818,10.4655,10.5351,14.5985,14.3285
2015-10-03 15:30:00,2430,Mordovya,Spartak Moscow,0,1,9.1818,8.8209,10.5351,10.2600,14.3285,14.1318
2015-10-19 20:00:00,2444,Mordovya,FC Rostov,2,3,8.8209,8.9924,10.26,10.5644,14.1318,14.4203
2015-10-24 15:30:00,2447,Mordovya,Kuban Krasnodar,1,1,8.9924,9.1977,10.5644,11.1116,14.4203,14.2838
2015-10-31 18:00:00,2454,Mordovya,Zenit St. Petersburg,0,0,9.1977,9.8560,11.1116,11.4275,14.2838,15.2845
2015-11-06 20:00:00,2461,Mordovya,Anzhi Makhachkala,4,0,9.856,10.7076,11.4275,11.5232,15.2845,15.8920
2015-11-22 15:30:00,2473,Mordovya,Dinamo Moscow,1,1,10.7076,10.3795,11.5232,11.2439,15.892,15.5151
2015-11-27 18:00:00,2477,Mordovya,Ural,1,3,10.3795,9.9073,11.2439,10.8169,15.5151,15.4978
2015-12-03 20:00:00,2486,Mordovya,FK Akhmat,0,0,9.9073,9.8434,10.8169,10.7777,15.4978,15.4093
2016-03-06 15:30:00,2496,Mordovya,FC Ufa,1,1,9.8434,10.0293,10.7777,11.0978,15.4093,15.4609
2016-03-13 15:30:00,2505,Mordovya,FC Krasnodar,0,1,10.0293,10.0217,11.0978,11.6383,15.4609,15.1553
2016-03-20 18:00:00,2515,Mordovya,Rubin Kazan,1,1,10.0217,10.2530,11.6383,12.0373,15.1553,15.2188
2016-04-04 20:00:00,2523,Mordovya,Krylya Sovetov Samara,1,2,10.253,9.7228,12.0373,11.4134,15.2188,15.0323
2016-04-09 14:30:00,2526,Mordovya,CSKA Moscow,1,7,9.7228,8.2552,11.4134,10.9643,15.0323,14.0461
2016-04-15 20:00:00,2533,Mordovya,Amkar,1,1,8.2552,8.2870,10.9643,11.1323,14.0461,13.9416
2016-04-23 18:00:00,2542,Mordovya,Spartak Moscow,2,2,8.287,8.9106,11.1323,11.6370,13.9416,14.6841
2016-05-01 15:30:00,2554,Mordovya,FC Rostov,2,1,8.9106,9.5405,11.637,12.1051,14.6841,15.2257
2016-05-07 18:00:00,2561,Mordovya,Kuban Krasnodar,2,1,9.5405,10.0496,12.1051,12.3317,15.2257,15.7672
2016-05-11 20:30:00,2568,Mordovya,Zenit St. Petersburg,0,3,10.0496,9.5810,12.3317,12.0461,15.7672,15.8657
2016-05-15 18:00:00,2574,Mordovya,Anzhi Makhachkala,0,3,9.581,8.8132,12.0461,11.8613,15.8657,15.2649
2016-05-21 14:30:00,2588,Mordovya,Lokomotiv Moscow,0,3,8.8132,8.1252,11.8613,11.3520,15.2649,15.1482
