Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-16 15:00:00,4752,(H) Stoke,(V) Aston Villa,0,1,0.423368,0.909774,10,9.6250,10,9.7534,10,9.7466
2014-08-24 13:30:00,4765,(V) Stoke,(H) Hull,1,1,1.60916,0.870175,9.625,9.7500,9.7534,10.0631,9.7466,9.6869
2014-08-30 15:00:00,4770,(V) Stoke,(H) Manchester City,1,0,0.299792,0.891768,9.75,10.3750,10.0631,10.2901,9.6869,10.4599
2014-09-13 15:00:00,4723,(H) Stoke,(V) Leicester,0,1,1.64782,0.598313,10.375,9.9375,10.2901,10.3650,10.4599,9.7600
2014-09-20 12:45:00,4729,(V) Stoke,(H) Queens Park Rangers,2,2,1.45847,1.05642,9.9375,9.7188,10.365,10.2468,9.76,9.4407
2014-09-29 20:00:00,4748,(H) Stoke,(V) Newcastle United,1,0,1.56203,1.13994,9.7188,9.5313,10.2468,9.9148,9.4407,9.1477
2014-10-04 15:00:00,4692,(V) Stoke,(H) Sunderland,1,3,0.478187,1.40551,9.5313,9.2071,9.9148,9.8587,9.1477,9.0553
2014-10-19 16:00:00,4707,(H) Stoke,(V) Swansea,2,1,1.75841,2.26827,9.2071,9.4805,9.8587,9.7547,9.0553,9.4562
2014-10-25 15:00:00,4710,(V) Stoke,(H) Southampton,0,1,0.867568,1.3758,9.4805,9.6670,9.7547,10.0642,9.4562,9.7698
2014-11-01 15:00:00,4650,(H) Stoke,(V) West Ham,2,2,3.06954,0.528668,9.667,9.7910,10.0642,10.8234,9.7698,9.2586
2014-11-09 13:30:00,4666,(V) Stoke,(H) Tottenham,2,1,1.24867,1.28384,9.791,10.1191,10.8234,10.8927,9.2586,9.5955
2014-11-22 15:00:00,4669,(H) Stoke,(V) Burnley,1,2,1.94307,1.27532,10.1191,9.3098,10.8927,10.5003,9.5955,8.6192
2014-11-29 15:00:00,4682,(V) Stoke,(H) Liverpool,0,1,0.875424,1.71025,9.3098,9.0851,10.5003,10.3169,8.6192,8.6032
2014-12-02 19:45:00,4591,(V) Stoke,(H) Manchester United,1,2,1.29092,1.91104,9.0851,9.4670,10.3169,10.7937,8.6032,9.1401
2014-12-06 15:00:00,4601,(H) Stoke,(V) Arsenal,3,2,2.50357,2.02073,9.467,9.8957,10.7937,11.0931,9.1401,9.4481
2014-12-13 15:00:00,4611,(V) Stoke,(H) Crystal Palace,1,1,0.898532,0.498092,9.8957,10.0986,11.0931,11.3961,9.4481,9.5509
2014-12-22 20:00:00,4628,(H) Stoke,(V) Chelsea,0,2,0.411669,1.45482,10.0986,9.7391,11.3961,11.2758,9.5509,9.4522
