Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 14:30:00,5452,(V) Hamburger SV,(H) FC Cologne,0,0,0.913337,0.522276,10,10.1250,10,10.2228,10,10.0272
2014-08-30 14:30:00,5459,(H) Hamburger SV,(V) Paderborn,0,3,1.14049,2.37004,10.125,9.2500,10.2228,9.7904,10.0272,9.4596
2014-09-14 16:30:00,5419,(V) Hamburger SV,(H) Hannover 96,0,2,0.976735,2.22631,9.25,8.8750,9.7904,9.6030,9.4596,9.3970
2014-09-20 14:30:00,5422,(H) Hamburger SV,(V) Bayern Munich,0,0,0.203118,1.03519,8.875,9.0000,9.603,9.5200,9.397,9.7300
2014-09-24 19:00:00,5435,(V) Hamburger SV,(H) Borussia M.Gladbach,0,1,0.560569,2.38906,9.0,9.3125,9.52,9.6254,9.73,10.4996
2014-09-28 16:30:00,5446,(H) Hamburger SV,(V) Eintracht Frankfurt,1,2,1.09327,0.232889,9.3125,9.1250,9.6254,9.9030,10.4996,10.0970
2014-10-04 14:30:00,5386,(V) Hamburger SV,(H) Borussia Dortmund,1,0,1.42953,1.20017,9.125,9.5547,9.903,10.1400,10.097,10.4693
2014-10-19 14:30:00,5399,(H) Hamburger SV,(V) Hoffenheim,1,1,1.82378,1.55868,9.5547,9.7578,10.14,10.4094,10.4693,10.6062
2014-10-25 14:30:00,5405,(V) Hamburger SV,(H) Hertha Berlin,0,3,0.784655,2.51297,9.7578,9.1748,10.4094,10.1443,10.6062,10.4553
2014-11-01 14:30:00,5351,(H) Hamburger SV,(V) Bayer Leverkusen,1,0,1.33863,0.426376,9.1748,9.2900,10.1443,10.2376,10.4553,10.3425
2014-11-09 14:30:00,5363,(V) Hamburger SV,(H) Wolfsburg,0,2,0.488693,1.95442,9.29,9.4455,10.2376,10.5267,10.3425,10.8645
2014-11-23 14:30:00,5372,(H) Hamburger SV,(V) Werder Bremen,2,0,2.60596,1.14769,9.4455,9.7539,10.5267,10.6996,10.8645,10.8083
2014-11-29 14:30:00,5375,(V) Hamburger SV,(H) Augsburg,1,3,1.12309,2.79213,9.7539,9.7470,10.6996,10.7754,10.8083,11.2186
2014-12-07 14:30:00,5319,(H) Hamburger SV,(V) Mainz 05,2,1,2.03325,1.02472,9.747,9.7242,10.7754,10.7548,11.2186,10.9437
2014-12-13 14:30:00,5326,(V) Hamburger SV,(H) Freiburg,0,0,0.518828,1.46439,9.7242,9.6221,10.7548,10.4164,10.9437,11.0780
2014-12-16 19:00:00,5331,(H) Hamburger SV,(V) VfB Stuttgart,0,1,0.436429,1.36453,9.6221,9.0465,10.4164,9.8587,11.078,10.7344
2014-12-20 14:30:00,5342,(V) Hamburger SV,(H) Schalke 04,0,0,1.3688,1.52587,9.0465,9.3819,9.8587,10.1549,10.7344,11.1091
2015-01-31 14:30:00,5309,(H) Hamburger SV,(V) FC Cologne,0,2,0.601293,1.16042,9.3819,8.8538,10.1549,9.9870,11.1091,10.7208
2015-02-04 19:00:00,5268,(V) Hamburger SV,(H) Paderborn,3,0,2.21275,0.81246,8.8538,9.8122,9.987,10.5455,10.7208,11.3291
2015-02-07 17:30:00,5277,(H) Hamburger SV,(V) Hannover 96,2,1,0.674771,2.24545,9.8122,10.2739,10.5455,10.3646,11.3291,12.1835
2015-02-14 14:30:00,5285,(V) Hamburger SV,(H) Bayern Munich,0,8,0.230619,4.17851,10.2739,8.4399,10.3646,9.5437,12.1835,11.3365
2015-02-22 14:30:00,5296,(H) Hamburger SV,(V) Borussia M.Gladbach,1,1,1.04376,0.657812,8.4399,8.3011,9.5437,9.5014,11.3365,11.1012
2015-02-28 17:30:00,5304,(V) Hamburger SV,(H) Eintracht Frankfurt,1,2,1.43145,2.21323,8.3011,8.5886,9.5014,9.8435,11.1012,11.5841
2015-03-07 14:30:00,5234,(H) Hamburger SV,(V) Borussia Dortmund,0,0,0.735406,0.505015,8.5886,9.2331,9.8435,10.5456,11.5841,12.1710
2015-03-14 14:30:00,5244,(V) Hamburger SV,(H) Hoffenheim,0,3,0.438761,2.66878,9.2331,8.9402,10.5456,10.4452,12.171,12.4356
2015-03-20 19:30:00,5251,(H) Hamburger SV,(V) Hertha Berlin,0,1,0.482112,0.7084,8.9402,8.8123,10.4452,10.5107,12.4356,12.3643
2015-04-04 14:30:00,5199,(V) Hamburger SV,(H) Bayer Leverkusen,0,4,0.35348,3.81979,8.8123,8.4822,10.5107,10.3140,12.3643,12.9008
2015-04-11 17:30:00,5210,(H) Hamburger SV,(V) Wolfsburg,0,2,0.141435,2.16383,8.4822,8.4172,10.314,10.2434,12.9008,13.3414
2015-04-19 14:30:00,5220,(V) Hamburger SV,(H) Werder Bremen,0,1,0.433841,1.3478,8.4172,8.6595,10.2434,10.5072,13.3414,13.8122
2015-04-25 14:30:00,5225,(H) Hamburger SV,(V) Augsburg,3,2,1.7695,1.44372,8.6595,8.8171,10.5072,10.4963,13.8122,13.8884
2015-05-03 14:30:00,5166,(V) Hamburger SV,(H) Mainz 05,2,1,0.602455,0.667039,8.8171,9.7368,10.4963,11.1499,13.8884,14.8242
2015-05-08 19:30:00,5168,(H) Hamburger SV,(V) Freiburg,1,1,1.56791,1.88887,9.7368,9.9492,11.1499,11.2820,14.8242,15.1168
2015-05-16 14:30:00,5184,(V) Hamburger SV,(H) VfB Stuttgart,1,2,0.197392,2.50374,9.9492,9.8033,11.282,10.8095,15.1168,15.5475
2015-05-23 14:30:00,5187,(H) Hamburger SV,(V) Schalke 04,2,0,1.10308,1.09683,9.8033,10.1074,10.8095,10.6152,15.5475,15.8501
2015-08-14 22:30:00,1021,(V) Hamburger SV,(H) Bayern Munich,0,5,0.154234,3.22904,10.1074,8.8809,10.6152,9.8700,15.8501,15.3923
2015-08-22 20:30:00,1036,(H) Hamburger SV,(V) VfB Stuttgart,3,2,1.32114,1.89549,8.8809,9.1404,9.87,9.7359,15.3923,15.7954
2015-08-29 17:30:00,1042,(V) Hamburger SV,(H) FC Cologne,1,2,1.44461,1.67081,9.1404,9.4635,9.7359,10.2525,15.7954,16.1751
2015-09-11 22:30:00,1048,(V) Hamburger SV,(H) Borussia M.Gladbach,3,0,1.02932,0.436066,9.4635,10.3161,10.2525,10.5034,16.1751,16.8794
2015-09-19 17:30:00,1060,(H) Hamburger SV,(V) Eintracht Frankfurt,0,0,0.909692,0.221397,10.3161,10.6231,10.5034,10.9825,16.8794,17.0143
2015-09-22 22:00:00,1068,(V) Hamburger SV,(H) Ingolstadt,1,0,1.16174,0.718034,10.6231,10.8894,10.9825,11.1098,17.0143,17.1697
2015-09-26 20:30:00,1081,(H) Hamburger SV,(V) Schalke 04,0,1,0.583026,1.27784,10.8894,10.3619,11.1098,10.6586,17.1697,16.8159
2015-10-03 17:30:00,1087,(V) Hamburger SV,(H) Hertha Berlin,0,3,0.315135,2.0435,10.3619,9.5372,10.6586,10.1518,16.8159,16.4233
2015-10-17 17:30:00,1098,(H) Hamburger SV,(V) Bayer Leverkusen,0,0,0.469945,0.875048,9.5372,9.2909,10.1518,9.8042,16.4233,16.2783
2015-10-23 22:30:00,1102,(V) Hamburger SV,(H) Hoffenheim,1,0,3.11642,0.586765,9.2909,9.6140,9.8042,10.5097,16.2783,15.9690
2015-11-01 20:30:00,1119,(H) Hamburger SV,(V) Hannover 96,1,2,2.44912,0.843812,9.614,9.3091,10.5097,10.8562,15.969,15.2628
2015-11-07 21:30:00,1126,(V) Hamburger SV,(H) Darmstadt,1,1,1.15876,1.6995,9.3091,9.2214,10.8562,10.6333,15.2628,15.3102
2015-11-20 23:45:00,1129,(H) Hamburger SV,(V) Borussia Dortmund,3,1,1.47142,2.31377,9.2214,9.8924,10.6333,10.5937,15.3102,16.1918
2015-11-28 18:30:00,1139,(V) Hamburger SV,(H) Werder Bremen,3,1,1.13161,0.977105,9.8924,10.4520,10.5937,10.6920,16.1918,16.7128
2015-12-05 18:30:00,1149,(H) Hamburger SV,(V) Mainz 05,1,3,1.30558,1.19413,10.452,9.5973,10.692,10.3652,16.7128,15.8302
2015-12-12 18:30:00,1158,(V) Hamburger SV,(H) Wolfsburg,1,1,0.210485,2.00091,9.5973,9.6137,10.3652,9.9340,15.8302,16.2942
2015-12-19 18:30:00,1167,(H) Hamburger SV,(V) Augsburg,0,1,1.24397,2.50129,9.6137,9.2905,9.934,9.5465,16.2942,16.2854
2016-01-22 23:30:00,1174,(H) Hamburger SV,(V) Bayern Munich,1,2,0.378362,1.95463,9.2905,9.3185,9.5465,9.4304,16.2854,16.7075
2016-01-30 21:30:00,1189,(V) Hamburger SV,(H) VfB Stuttgart,1,2,1.77488,2.69957,9.3185,9.0841,9.4304,9.2148,16.7075,16.7042
2016-02-07 18:30:00,1199,(H) Hamburger SV,(V) FC Cologne,1,1,0.197661,1.37214,9.0841,8.6793,9.2148,8.5164,16.7042,16.5930
2016-02-14 18:30:00,1208,(H) Hamburger SV,(V) Borussia M.Gladbach,3,2,1.48178,2.07387,8.6793,8.7510,8.5164,8.1901,16.593,16.8127
2016-02-19 23:30:00,1210,(V) Hamburger SV,(H) Eintracht Frankfurt,0,0,0.807708,0.45464,8.751,8.8916,8.1901,8.4190,16.8127,16.8650
2016-02-27 18:30:00,1222,(H) Hamburger SV,(V) Ingolstadt,1,1,0.897328,1.01142,8.8916,8.8209,8.419,8.3197,16.865,16.8228
2016-03-02 23:00:00,1234,(V) Hamburger SV,(H) Schalke 04,2,3,0.825944,2.61412,8.8209,8.8424,8.3197,8.1442,16.8228,17.2914
2016-03-06 20:30:00,1245,(H) Hamburger SV,(V) Hertha Berlin,2,0,1.10346,0.22915,8.8424,9.2790,8.1442,8.2993,17.2914,17.5094
2016-03-13 18:30:00,1253,(V) Hamburger SV,(H) Bayer Leverkusen,0,1,1.03957,1.46364,9.279,9.1006,8.2993,8.2649,17.5094,17.4370
2016-03-19 18:30:00,1257,(H) Hamburger SV,(V) Hoffenheim,1,3,2.27762,2.21883,9.1006,8.3447,8.2649,8.0237,17.437,16.6665
2016-04-02 17:30:00,1269,(V) Hamburger SV,(H) Hannover 96,3,0,2.17031,1.16167,8.3447,8.7493,8.0237,7.9305,16.6665,16.8189
2016-04-09 17:30:00,1275,(H) Hamburger SV,(V) Darmstadt,1,2,0.70616,1.04297,8.7493,8.7703,7.9305,8.1173,16.8189,16.9241
2016-04-17 17:30:00,1289,(V) Hamburger SV,(H) Borussia Dortmund,0,3,0.617113,1.90773,8.7703,8.8674,8.1173,8.6417,16.9241,17.3439
2016-04-22 22:30:00,1291,(H) Hamburger SV,(V) Werder Bremen,2,1,1.90362,2.52835,8.8674,9.2516,8.6417,8.6197,17.3439,17.8843
2016-04-30 17:30:00,1303,(V) Hamburger SV,(H) Mainz 05,0,0,0.570155,0.973992,9.2516,9.6789,8.6197,8.9460,17.8843,18.4125
2016-05-07 17:30:00,1311,(H) Hamburger SV,(V) Wolfsburg,0,1,0.427188,1.96183,9.6789,9.2108,8.946,8.3442,18.4125,18.3280
2016-05-14 17:30:00,1318,(V) Hamburger SV,(H) Augsburg,3,1,2.0985,1.03269,9.2108,9.9505,8.3442,8.8504,18.328,18.8013
2016-08-27 17:30:00,1329,(H) Hamburger SV,(V) Ingolstadt,1,1,0.309707,1.20744,9.9505,9.7495,8.8504,8.4250,18.8013,18.8247
