Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2016-07-30 22:30:00,2591,(V) FC Orenburg,(H) FC Rostov,0,1,0.301348,0.842313,11.08,10,10.0215,10,10.1363,10,10.1568
2016-08-07 17:00:00,2599,(H) FC Orenburg,(V) CSKA Moscow,0,1,0.59396,0.905738,11.7957,10.0215,10.1299,10.1363,10.4168,10.1568,10.3432
2016-08-15 18:30:00,2612,(H) FC Orenburg,(V) Amkar,0,0,0.471337,0.0428303,10.7715,10.1299,10.0232,10.4168,10.4172,10.3432,10.1293
2016-08-22 20:30:00,2620,(V) FC Orenburg,(H) Arsenal Tula,0,0,0.493975,0.315147,9.251,10.0232,9.7811,10.4172,10.2198,10.1293,9.8425
2016-08-27 14:00:00,2622,(H) FC Orenburg,(V) Rubin Kazan,1,1,0.332097,1.4484,9.3106,9.7811,9.4948,10.2198,9.6545,9.8425,9.8353
2016-09-10 19:00:00,2631,(H) FC Orenburg,(V) Anzhi Makhachkala,0,0,0.30175,0.576329,9.4841,9.4948,9.3959,9.6545,9.4870,9.8353,9.8051
2016-09-16 18:00:00,2637,(H) FC Orenburg,(V) Spartak Moscow,1,3,1.13048,0.733279,11.4742,9.3959,9.3074,9.487,9.9979,9.8051,9.6173
2016-09-25 13:00:00,2647,(H) FC Orenburg,(V) Ural,0,1,0.590893,0.458161,8.8667,9.3074,8.9302,9.9979,9.9039,9.6173,9.2069
2016-10-01 20:30:00,2656,(V) FC Orenburg,(H) FK Akhmat,1,2,1.36727,1.76292,9.3155,8.9302,8.8529,9.9039,9.9777,9.2069,9.2286
2016-10-16 17:30:00,2666,(H) FC Orenburg,(V) Tom Tomsk,3,1,2.57427,1.35381,9.6014,8.8529,9.4992,9.9777,10.4291,9.2286,9.5698
2016-10-24 20:30:00,2676,(V) FC Orenburg,(H) Zenit St. Petersburg,0,1,0.428507,1.40489,12.0911,9.4992,10.2054,10.4291,11.1413,9.5698,10.5201
2016-10-31 18:00:00,2967,(H) FC Orenburg,(V) Krylya Sovetov Samara,1,0,0.697814,0.415716,9.29,10.2054,10.3633,11.1413,11.1198,10.5201,10.6075
2016-11-06 20:30:00,2724,(V) FC Orenburg,(H) FC Krasnodar,3,3,0.380994,1.20411,10.5621,10.3633,10.5706,11.1198,11.1213,10.6075,11.0205
2016-11-19 15:30:00,2727,(H) FC Orenburg,(V) Lokomotiv Moscow,1,1,0.193962,0.595465,10.9393,10.5706,10.3300,11.1213,10.7803,11.0205,10.8803
2016-11-25 18:00:00,2733,(V) FC Orenburg,(H) FC Ufa,0,1,0.235916,1.33069,10.848,10.33,10.2119,10.7803,10.6386,10.8803,11.0359
2016-11-30 20:30:00,2743,(V) FC Orenburg,(H) CSKA Moscow,0,2,0.44042,1.31084,10.2039,10.2119,9.7683,10.6386,10.4774,11.0359,10.8099
2016-12-05 15:00:00,3277,(V) FC Orenburg,(H) Amkar,0,3,0.605208,0.306894,9.7942,9.7683,9.2132,10.4774,10.7468,10.8099,10.1802
2017-03-04 11:00:00,4297,(H) FC Orenburg,(V) Arsenal Tula,3,0,1.7202,0.74605,9.7308,9.2132,9.7868,10.7468,10.8139,10.1802,10.5102
2017-03-11 13:30:00,4306,(V) FC Orenburg,(H) Rubin Kazan,0,0,0.470842,0.420725,10.7399,9.7868,10.2163,10.8139,11.2560,10.5102,10.9272
2017-03-17 16:00:00,4313,(V) FC Orenburg,(H) Anzhi Makhachkala,0,1,0.517353,0.597659,9.5354,10.2163,10.0527,11.256,11.3223,10.9272,10.7837
2017-04-03 17:30:00,4324,(V) FC Orenburg,(H) Spartak Moscow,2,3,1.2491,1.34167,11.1204,10.0527,9.9748,11.3223,11.4713,10.7837,10.7290
2017-04-10 15:30:00,4328,(V) FC Orenburg,(H) Ural,0,2,1.38573,0.672695,10.0817,9.9748,9.4907,11.4713,11.6654,10.729,10.0666
2017-04-16 10:30:00,4339,(H) FC Orenburg,(V) FK Akhmat,2,1,1.20697,0.0889536,10.4512,9.4907,9.6556,11.6654,11.8598,10.0666,9.9520
2017-04-23 10:00:00,4347,(V) FC Orenburg,(H) Tom Tomsk,2,1,1.9734,0.300429,8.7263,9.6556,9.7416,11.8598,12.1140,9.952,9.6198
2017-04-26 15:00:00,4352,(H) FC Orenburg,(V) Zenit St. Petersburg,0,1,0.709196,1.198,11.0154,9.7416,9.6301,12.114,12.1303,9.6198,9.6305
2017-05-01 13:30:00,4364,(V) FC Orenburg,(H) Krylya Sovetov Samara,1,1,0.7835,2.38528,9.3078,9.6301,9.8401,12.1303,11.9398,9.6305,10.2409
2017-05-07 12:00:00,4370,(H) FC Orenburg,(V) FC Krasnodar,1,0,1.24665,0.583116,10.8964,9.8401,10.3796,11.9398,12.3952,10.2409,10.6146
2017-05-13 17:30:00,4380,(V) FC Orenburg,(H) Lokomotiv Moscow,0,4,0.675743,1.91097,9.3038,10.3796,9.3695,12.3952,12.0763,10.6146,9.9133
2017-05-17 15:30:00,4386,(H) FC Orenburg,(V) FC Ufa,1,1,0.575025,0.394993,9.7126,9.3695,9.0316,12.0763,11.7834,9.9133,9.5304
2017-05-21 13:00:00,4396,(H) FC Orenburg,(V) FC Rostov,2,0,0.957637,0.534305,11.0815,9.0316,9.7984,11.7834,12.1560,9.5304,10.1914
2018-07-28 19:00:00,8946,(V) FC Orenburg,(H) Spartak Moscow,0,1,0.195363,0.78611,10.1659,9.7984,10.0540,12.156,12.5139,10.1914,10.5947
2018-08-05 16:30:00,8957,(V) FC Orenburg,(H) Krylya Sovetov Samara,3,0,1.36694,1.41184,10.3868,10.054,10.9737,12.5139,12.6724,10.5947,11.5256
2018-08-12 14:00:00,8965,(H) FC Orenburg,(V) Lokomotiv Moscow,1,0,0.183598,0.681723,10.1541,10.9737,11.1531,12.6724,12.4773,11.5256,11.8296
2018-08-17 19:30:00,8969,(V) FC Orenburg,(H) Anzhi Makhachkala,3,1,1.22131,0.886545,9.7122,11.1531,11.5037,12.4773,12.4116,11.8296,12.0965
