Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 22:00:00,5829,Espanyol,Almeria,1,1,10,10.1250,10,9.9801,10,10.2699
2014-08-30 22:00:00,5841,Espanyol,Sevilla,1,2,10.125,9.7500,9.9801,9.7515,10.2699,9.9985
2014-09-14 16:00:00,5792,Espanyol,Valencia,1,3,9.75,9.3750,9.7515,9.6840,9.9985,9.8160
2014-09-20 21:00:00,5800,Espanyol,Malaga,2,2,9.375,9.1875,9.684,10.0754,9.816,9.0496
2014-09-25 19:00:00,5814,Espanyol,Getafe,2,0,9.1875,9.5781,10.0754,10.3889,9.0496,9.0173
2014-09-28 20:00:00,5825,Espanyol,Cordoba,0,0,9.5781,9.7187,10.3889,10.5234,9.0173,9.1641
2014-10-05 18:00:00,5762,Espanyol,Real Sociedad,2,0,9.7187,10.1718,10.5234,10.7048,9.1641,9.3890
2014-10-19 11:00:00,5769,Espanyol,Atletico Madrid,0,2,10.1718,10.2890,10.7048,10.4709,9.389,10.3573
2014-10-26 16:00:00,5781,Espanyol,Deportivo La Coruna,0,0,10.289,9.7519,10.4709,10.0132,10.3573,9.7409
2014-11-02 20:00:00,5723,Espanyol,Elche,1,2,9.7519,9.2119,10.0132,9.6401,9.7409,9.2840
2014-11-09 16:00:00,5732,Espanyol,Villarreal,1,1,9.2119,9.3345,9.6401,9.4633,9.284,9.7060
2014-11-21 19:45:00,5735,Espanyol,Athletic Club,1,3,9.3345,9.1622,9.4633,9.7703,9.706,9.5543
2014-11-29 17:00:00,5747,Espanyol,Levante,2,1,9.1622,9.2433,9.7703,9.4709,9.5543,9.7658
2014-12-07 16:00:00,5692,Espanyol,Barcelona,1,5,9.2433,8.9067,9.4709,9.6607,9.7658,9.9029
2014-12-14 11:00:00,5702,Espanyol,Granada,2,1,8.9067,8.7913,9.6607,9.6059,9.9029,9.4770
2014-12-20 21:00:00,5711,Espanyol,Rayo Vallecano,3,1,8.7913,9.5617,9.6059,10.0965,9.477,10.0273
2015-01-04 18:00:00,5649,Espanyol,Eibar,1,2,9.5617,9.7048,10.0965,10.4943,10.0273,10.1657
2015-01-10 15:00:00,5653,Espanyol,Real Madrid,0,3,9.7048,9.8842,10.4943,11.0830,10.1657,10.6859
2015-01-17 21:00:00,5666,Espanyol,Celta Vigo,1,0,9.8842,9.8715,11.083,11.0398,10.6859,10.4537
2015-01-25 18:00:00,5679,Espanyol,Almeria,3,0,9.8715,10.4800,11.0398,11.4337,10.4537,10.5269
2015-02-01 18:00:00,5604,Espanyol,Sevilla,2,3,10.48,10.6139,11.4337,11.2114,10.5269,11.2670
2015-02-08 18:00:00,5615,Espanyol,Valencia,1,2,10.6139,10.4647,11.2114,11.3334,11.267,11.0967
2015-02-14 21:00:00,5622,Espanyol,Malaga,2,0,10.4647,10.9214,11.3334,11.0746,11.0967,11.7689
2015-02-20 19:45:00,5628,Espanyol,Getafe,1,2,10.9214,10.6287,11.0746,10.8502,11.7689,11.6578
2015-02-27 19:45:00,5638,Espanyol,Cordoba,1,0,10.6287,10.2189,10.8502,10.0496,11.6578,11.3888
2015-03-08 16:00:00,5577,Espanyol,Real Sociedad,0,1,10.2189,9.8735,10.0496,9.8806,11.3888,11.1171
2015-03-14 15:00:00,5582,Espanyol,Atletico Madrid,0,0,9.8735,10.0194,9.8806,9.7013,11.1171,11.5881
2015-03-22 11:00:00,5597,Espanyol,Deportivo La Coruna,0,0,10.0194,9.9798,9.7013,9.8254,11.5881,11.3847
2015-04-06 19:00:00,5514,Espanyol,Elche,1,1,9.9798,9.6986,9.8254,9.5541,11.3847,11.0936
2015-04-09 21:00:00,5524,Espanyol,Villarreal,3,0,9.6986,10.6185,9.5541,10.1486,11.0936,11.5889
2015-04-12 16:00:00,5531,Espanyol,Athletic Club,1,0,10.6185,10.9020,10.1486,10.2429,11.5889,11.8117
2015-04-17 19:45:00,5535,Espanyol,Levante,2,2,10.902,10.8975,10.2429,10.4033,11.8117,11.6423
2015-04-25 15:00:00,5546,Espanyol,Barcelona,0,2,10.8975,10.5209,10.4033,9.9032,11.6423,11.8891
2015-04-30 21:00:00,5564,Espanyol,Granada,2,1,10.5209,10.1533,9.9032,9.1929,11.8891,11.6142
2015-05-03 11:00:00,5470,Espanyol,Rayo Vallecano,1,1,10.1533,9.5853,9.1929,8.6615,11.6142,11.0095
2015-05-08 19:45:00,5475,Espanyol,Eibar,2,0,9.5853,9.7389,8.6615,8.6198,11.0095,10.8585
2015-05-17 18:00:00,5492,Espanyol,Real Madrid,1,4,9.7389,9.4345,8.6198,8.8336,10.8585,10.7859
2015-05-23 17:30:00,5503,Espanyol,Celta Vigo,2,3,9.4345,9.4423,8.8336,9.3612,10.7859,10.5239
2015-08-22 20:30:00,1401,Espanyol,Getafe,1,0,9.4423,9.1257,9.3612,8.5948,10.5239,10.4071
2015-08-28 22:30:00,1409,Espanyol,Villarreal,1,3,9.1257,8.7310,8.5948,8.4820,10.4071,10.2305
