Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-16 15:00:00,4750,Everton,Leicester,2,2,10,10.1250,10,9.9587,10,10.2913
2014-08-23 17:30:00,4764,Everton,Arsenal,2,2,10.125,10.0000,9.9587,9.8089,10.2913,10.1911
2014-08-30 17:30:00,4775,Everton,Chelsea,3,6,10.0,9.2500,9.8089,9.6645,10.1911,9.5855
2014-09-13 15:00:00,4725,Everton,West Bromwich Albion,2,0,9.25,9.8750,9.6645,9.8409,9.5855,10.1591
2014-09-21 16:00:00,4738,Everton,Crystal Palace,2,3,9.875,9.5000,9.8409,9.9490,10.1591,9.5510
2014-09-27 12:45:00,4739,Everton,Liverpool,1,1,9.5,9.7656,9.949,9.9514,9.551,10.0798
2014-10-05 12:00:00,4695,Everton,Manchester United,1,2,9.7656,9.7578,9.9514,10.3215,10.0798,9.9441
2014-10-18 15:00:00,4700,Everton,Aston Villa,3,0,9.7578,10.3047,10.3215,10.4429,9.9441,10.1665
2014-10-26 13:30:00,4716,Everton,Burnley,3,1,10.3047,10.6709,10.4429,10.2507,10.1665,10.5911
2014-11-01 15:00:00,4654,Everton,Swansea,0,0,10.6709,10.3086,10.2507,10.0017,10.5911,10.1155
2014-11-09 13:30:00,4665,Everton,Sunderland,1,1,10.3086,9.8230,10.0017,9.7188,10.1155,9.4272
2014-11-22 15:00:00,4673,Everton,West Ham,2,1,9.823,10.0603,9.7188,9.8829,9.4272,9.4878
2014-11-30 16:00:00,4688,Everton,Tottenham,1,2,10.0603,9.7598,9.8829,9.7832,9.4878,9.2365
2014-12-03 19:45:00,4596,Everton,Hull,1,1,9.7598,9.4072,9.7832,9.6766,9.2365,8.6379
2014-12-06 17:30:00,4605,Everton,Manchester City,0,1,9.4072,9.7446,9.6766,9.7982,8.6379,9.4410
2014-12-15 20:00:00,4618,Everton,Queens Park Rangers,3,1,9.7446,10.2305,9.7982,9.7280,9.441,9.9831
2014-12-20 15:00:00,4623,Everton,Southampton,0,3,10.2305,9.5415,9.728,9.3853,9.9831,9.6978
2014-12-26 15:00:00,4634,Everton,Stoke,0,1,9.5415,9.1335,9.3853,9.1308,9.6978,9.3864
2014-12-28 16:15:00,4647,Everton,Newcastle United,2,3,9.1335,8.9371,9.1308,9.0244,9.3864,9.3501
2015-01-01 15:00:00,4558,Everton,Hull,0,2,8.9371,8.7273,9.0244,9.0648,9.3501,9.3901
2015-01-10 15:00:00,4566,Everton,Manchester City,1,1,8.7273,9.1187,9.0648,9.3170,9.3901,9.9207
2015-01-19 20:00:00,4580,Everton,West Bromwich Albion,0,0,9.1187,9.1623,9.317,9.6847,9.9207,9.6402
2015-01-31 15:00:00,4587,Everton,Crystal Palace,1,0,9.1623,9.7120,9.6847,10.0218,9.6402,10.1525
2015-02-07 17:30:00,4521,Everton,Liverpool,0,0,9.712,9.9879,10.0218,10.0956,10.1525,10.6304
2015-02-11 19:45:00,4529,Everton,Chelsea,0,1,9.9879,10.2843,10.0956,10.5942,10.6304,10.9747
2015-02-22 14:05:00,4543,Everton,Leicester,2,2,10.2843,10.0000,10.5942,10.3237,10.9747,10.6766
2015-03-01 14:05:00,4481,Everton,Arsenal,0,2,10.0,9.8948,10.3237,10.4622,10.6766,10.8277
2015-03-04 19:45:00,4488,Everton,Stoke,0,2,9.8948,9.3357,10.4622,10.2479,10.8277,10.4238
2015-03-15 16:00:00,4500,Everton,Newcastle United,3,0,9.3357,9.6382,10.2479,10.1626,10.4238,10.3641
2015-03-22 16:00:00,4512,Everton,Queens Park Rangers,2,1,9.6382,10.0805,10.1626,10.2166,10.3641,10.9447
2015-04-04 15:00:00,4441,Everton,Southampton,1,0,10.0805,10.2676,10.2166,10.2754,10.9447,11.0101
2015-04-11 12:45:00,4451,Everton,Swansea,1,1,10.2676,10.4668,10.2754,10.4109,11.0101,11.2730
2015-04-18 15:00:00,4461,Everton,Burnley,1,0,10.4668,10.4367,10.4109,10.4557,11.273,10.9180
2015-04-26 13:30:00,4476,Everton,Manchester United,3,0,10.4367,11.4731,10.4557,10.8243,10.918,11.8722
2015-05-02 15:00:00,4401,Everton,Aston Villa,2,3,11.4731,11.2402,10.8243,10.8022,11.8722,11.6785
2015-05-09 12:45:00,4409,Everton,Sunderland,0,2,11.2402,9.8729,10.8022,9.9213,11.6785,10.3248
2015-05-16 15:00:00,4423,Everton,West Ham,2,1,9.8729,9.9213,9.9213,10.0341,10.3248,10.0588
