<<<<<<< HEAD
Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-09 20:00:00,6188,(V) Saint-Etienne,(H) Guingamp,2,0,1.49532,0.63294,10,10.6250,10,10.3406,10,10.4094
2014-08-17 16:00:00,6203,(H) Saint-Etienne,(V) Reims,3,1,2.42892,0.285467,10.625,11.0000,10.3406,10.7515,10.4094,10.2485
2014-08-24 16:00:00,6213,(H) Saint-Etienne,(V) Rennes,0,0,1.16489,0.364811,11.0,10.6250,10.7515,10.5765,10.2485,9.6735
2014-08-31 20:00:00,6224,(V) Saint-Etienne,(H) Paris Saint Germain,0,5,0.384577,1.60888,10.625,9.3750,10.5765,10.2704,9.6735,8.7296
2014-09-13 19:00:00,6147,(H) Saint-Etienne,(V) Caen,1,0,1.40877,0.54212,9.375,9.5625,10.2704,10.4246,8.7296,8.7004
2014-09-21 16:00:00,6162,(V) Saint-Etienne,(H) Lens,1,0,1.03801,0.880858,9.5625,10.1875,10.4246,10.8389,8.7004,9.2861
2014-09-25 20:00:00,6174,(H) Saint-Etienne,(V) Bordeaux,1,1,2.12624,1.03818,10.1875,10.2812,10.8389,11.2047,9.2861,9.1078
2014-09-28 20:00:00,6184,(V) Saint-Etienne,(H) Marseille,1,2,0.348437,1.12373,10.2812,10.5586,11.2047,11.5382,9.1078,9.5790
2014-10-05 13:00:00,6120,(H) Saint-Etienne,(V) Toulouse,0,1,1.29929,0.821394,10.5586,10.2344,11.5382,11.5835,9.579,9.1353
2014-10-18 16:00:00,6125,(V) Saint-Etienne,(H) Lorient,1,0,1.46047,0.179886,10.2344,9.9258,11.5835,11.3450,9.1353,8.5066
2014-10-26 16:00:00,6141,(H) Saint-Etienne,(V) Metz,1,0,1.08553,0.3693,9.9258,10.0420,11.345,11.3903,8.5066,8.4437
2014-11-01 19:00:00,6079,(V) Saint-Etienne,(H) Lille,1,1,1.51419,1.57174,10.042,9.9541,11.3903,11.2880,8.4437,8.3702
2014-11-09 16:00:00,6093,(H) Saint-Etienne,(V) Monaco,1,1,0.805668,0.589202,9.9541,10.0453,11.288,11.4333,8.3702,8.4073
2014-11-23 13:00:00,6101,(V) Saint-Etienne,(H) Nantes,0,0,1.47305,1.0617,10.0453,10.2965,11.4333,11.7873,8.4073,8.5557
2014-11-30 20:00:00,6113,(H) Saint-Etienne,(V) Lyon,3,0,2.12258,1.85216,10.2965,11.3487,11.7873,12.1571,8.5557,9.5403
2014-12-03 18:00:00,6039,(V) Saint-Etienne,(H) Montpellier,2,0,1.36398,0.402363,11.3487,11.8015,12.1571,12.3503,9.5403,9.7527
2014-12-06 19:00:00,6049,(H) Saint-Etienne,(V) SC Bastia,1,0,0.855599,1.38223,11.8015,11.6241,12.3503,11.7913,9.7527,9.7070
2014-12-14 13:00:00,6062,(V) Saint-Etienne,(H) Nice,0,0,0.297555,0.190566,11.6241,11.2772,11.7913,11.4711,9.707,9.3333
2014-12-21 16:00:00,6074,(H) Saint-Etienne,(V) Evian Thonon Gaillard,3,0,1.3033,0.321493,11.2772,11.4938,11.4711,11.1831,9.3333,9.3044
2015-01-10 19:00:00,6005,(V) Saint-Etienne,(H) Reims,2,1,1.25903,1.23747,11.4938,11.4821,11.1831,10.9268,9.3044,9.2873
2015-01-18 16:00:00,6017,(V) Saint-Etienne,(H) Rennes,0,0,0.533585,0.604093,11.4821,10.8021,10.9268,10.2291,9.2873,8.6249
2015-01-25 20:00:00,6028,(H) Saint-Etienne,(V) Paris Saint Germain,0,1,0.351107,2.36079,10.8021,10.0071,10.2291,9.1817,8.6249,8.3323
