<<<<<<< HEAD
Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-30 17:00:00,5149,(H) Chievo,(V) Juventus,0,1,0.502227,2.37394,10,9.6250,10,9.4071,10,10.0929
2014-09-14 14:00:00,5113,(V) Chievo,(H) Napoli,1,0,0.667533,2.2055,9.625,10.0000,9.4071,9.1476,10.0929,10.8524
2014-09-21 11:30:00,5121,(H) Chievo,(V) Parma,2,3,1.34921,0.934229,10.0,9.6875,9.1476,9.1888,10.8524,10.4362
2014-09-24 19:45:00,5137,(V) Chievo,(H) Sampdoria,1,2,0.270687,1.78275,9.6875,9.6875,9.1888,9.0608,10.4362,10.8142
2014-09-28 14:00:00,5144,(H) Chievo,(V) Empoli,1,1,0.837322,1.67402,9.6875,9.5156,9.0608,8.6798,10.8142,10.8515
2014-10-04 19:45:00,5070,(V) Chievo,(H) AC Milan,0,2,0.552252,1.60095,9.5156,9.2500,8.6798,8.6520,10.8515,10.8480
2014-10-18 17:00:00,5079,(V) Chievo,(H) Roma,0,3,0.324071,1.39349,9.25,9.0899,8.652,8.9745,10.848,10.9552
2014-10-26 14:00:00,5094,(H) Chievo,(V) Genoa,1,2,1.20366,2.38033,9.0899,8.9532,8.9745,8.7936,10.9552,11.1127
2014-10-29 19:45:00,5102,(V) Chievo,(H) Palermo,0,1,0.444825,1.42598,8.9532,8.6524,8.7936,8.4975,11.1127,11.0572
2014-11-02 14:00:00,5036,(H) Chievo,(V) Sassuolo,0,0,0.415151,0.446127,8.6524,8.8467,8.4975,8.6841,11.0572,11.2592
2014-11-09 14:00:00,5043,(H) Chievo,(V) Cesena,2,1,1.26794,0.834337,8.8467,9.0791,8.6841,8.7749,11.2592,11.3832
2014-11-23 14:00:00,5053,(V) Chievo,(H) Udinese,1,1,1.38085,0.399901,9.0791,9.2263,8.7749,9.1674,11.3832,11.2852
2014-11-29 19:45:00,5061,(H) Chievo,(V) Lazio,0,0,0.340276,0.559908,9.2263,9.4742,9.1674,9.3604,11.2852,11.5880
2014-12-08 18:00:00,5008,(V) Chievo,(H) Cagliari,2,0,0.980047,0.579955,9.4742,10.5154,9.3604,10.0017,11.588,12.5292
2014-12-15 20:00:00,5019,(H) Chievo,(V) Inter,0,2,0.826912,1.3205,10.5154,9.8442,10.0017,9.7071,12.5292,11.9814
2014-12-21 11:30:00,5024,(V) Chievo,(H) Verona,1,0,0.739269,0.964895,9.8442,9.8578,9.7071,9.4143,11.9814,12.0514
2015-01-06 14:00:00,4964,(H) Chievo,(V) Torino,0,0,0.790719,0.240292,9.8578,9.8096,9.4143,9.5037,12.0514,11.8656
2015-01-11 14:00:00,4970,(V) Chievo,(H) Atalanta,1,1,1.03428,0.940645,9.8096,9.6975,9.5037,9.4150,11.8656,11.7301
2015-01-18 14:00:00,4982,(H) Chievo,(V) Fiorentina,1,2,1.53326,1.94521,9.6975,9.5137,9.415,9.3782,11.7301,11.6493
2015-01-25 14:00:00,4992,(V) Chievo,(H) Juventus,0,2,0.633158,2.33621,9.5137,9.4055,9.3782,9.3442,11.6493,11.9668
2015-02-01 14:00:00,4922,(H) Chievo,(V) Napoli,1,2,0.590066,1.57003,9.4055,9.2739,9.3442,9.2176,11.9668,12.0802
2015-02-11 17:00:00,4936,(V) Chievo,(H) Parma,1,0,1.72203,0.742016,9.2739,9.3596,9.2176,9.2984,12.0802,11.9209
2015-02-15 17:00:00,4945,(H) Chievo,(V) Sampdoria,2,1,0.745644,0.839752,9.3596,9.6233,9.2984,9.2886,11.9209,12.2082
2015-02-22 14:00:00,4949,(V) Chievo,(H) Empoli,0,3,0.286685,2.17179,9.6233,9.1794,9.2886,9.1235,12.2082,12.2356
2015-02-28 19:45:00,4956,(H) Chievo,(V) AC Milan,0,0,0.512856,0.961368,9.1794,9.0982,9.1235,8.9302,12.2356,12.2665
2015-03-08 14:00:00,4892,(H) Chievo,(V) Roma,0,0,0.697014,0.723373,9.0982,9.0783,8.9302,8.9037,12.2665,12.2531
2015-03-15 14:00:00,4901,(V) Chievo,(H) Genoa,2,0,1.28332,1.10083,9.0783,10.1314,8.9037,9.5024,12.2531,13.2606
2015-03-21 17:00:00,4909,(H) Chievo,(V) Palermo,1,0,1.78719,1.25955,10.1314,10.4488,9.5024,9.7017,13.2606,13.4461
2015-04-04 14:00:00,4836,(V) Chievo,(H) Sassuolo,0,1,0.635164,1.47235,10.4488,10.1579,9.7017,9.4515,13.4461,13.3645
2015-04-12 11:30:00,4843,(V) Chievo,(H) Cesena,1,0,1.81431,0.476356,10.1579,10.3646,9.4515,9.7427,13.3645,13.2367
2015-04-19 14:00:00,4854,(H) Chievo,(V) Udinese,1,1,1.00434,0.223826,10.3646,10.0534,9.7427,9.6266,13.2367,12.7303
2015-04-26 14:00:00,4867,(V) Chievo,(H) Lazio,1,1,0.201518,1.88339,10.0534,10.7315,9.6266,9.8842,12.7303,13.8289
2015-04-29 19:45:00,4876,(H) Chievo,(V) Cagliari,1,0,0.960728,0.404162,10.7315,10.3611,9.8842,9.4029,13.8289,13.3193
2015-05-03 14:00:00,4782,(V) Chievo,(H) Inter,0,0,0.859563,0.895308,10.3611,10.4643,9.4029,9.4971,13.3193,13.4314
2015-05-10 11:30:00,4791,(H) Chievo,(V) Verona,2,2,1.99992,2.07565,10.4643,10.3238,9.4971,9.3377,13.4314,13.3098
2015-05-17 14:00:00,4805,(V) Chievo,(H) Torino,0,2,0.178332,2.88077,10.3238,9.7962,9.3377,8.6345,13.3098,13.4578
2015-05-24 14:00:00,4815,(H) Chievo,(V) Atalanta,1,1,0.97759,0.760081,9.7962,9.7143,8.6345,8.6070,13.4578,13.3215
2015-05-31 19:45:00,4828,(V) Chievo,(H) Fiorentina,0,3,0.663704,2.20556,9.7143,9.3037,8.607,8.5610,13.3215,13.2964
2015-08-23 22:45:00,558,(V) Chievo,(H) Empoli,3,1,1.0769,1.24183,9.3037,9.9123,8.561,8.6283,13.2964,13.9462
2015-08-30 22:45:00,568,(H) Chievo,(V) Lazio,4,0,1.63354,0.832294,9.9123,10.9614,8.6283,8.8777,13.9462,14.7950
2015-09-12 22:45:00,573,(V) Chievo,(H) Juventus,1,1,0.635511,2.74683,10.9614,11.1644,8.8777,8.5528,14.795,15.5258
2015-09-20 14:30:00,583,(H) Chievo,(V) Inter,0,1,0.885744,1.36927,11.1644,10.7175,8.5528,8.2350,15.5258,15.1998
2015-09-23 22:45:00,596,(H) Chievo,(V) Torino,1,0,0.425996,0.151262,10.7175,10.8653,8.235,8.2015,15.1998,15.2790
2015-09-27 17:00:00,605,(V) Chievo,(H) Sassuolo,1,1,0.595795,0.822599,10.8653,10.9437,8.2015,8.2232,15.279,15.4141
2015-10-03 22:45:00,612,(H) Chievo,(V) Verona,1,1,1.67182,1.11646,10.9437,10.6299,8.2232,8.0482,15.4141,14.9614
2015-10-18 17:00:00,625,(V) Chievo,(H) Genoa,2,3,2.1399,1.24967,10.6299,10.1335,8.0482,8.0244,14.9614,14.2425
2015-10-25 23:45:00,640,(H) Chievo,(V) Napoli,0,1,0.652747,1.27216,10.1335,10.0816,8.0244,8.0676,14.2425,14.3454
2015-10-28 23:45:00,644,(V) Chievo,(H) AC Milan,0,1,0.182518,1.5031,10.0816,9.8201,8.0676,7.7260,14.3454,14.4141
2015-11-02 22:00:00,659,(H) Chievo,(V) Sampdoria,1,1,1.56286,0.959375,9.8201,9.7517,7.726,7.8085,14.4141,14.1949
2015-11-08 18:00:00,665,(V) Chievo,(H) Palermo,0,1,1.21475,0.862642,9.7517,9.6660,7.8085,8.0608,14.1949,14.0211
2015-11-22 18:00:00,676,(V) Chievo,(H) Carpi,2,1,0.535478,0.949266,9.666,9.7726,8.0608,7.8139,14.0211,14.2311
2015-11-29 18:00:00,686,(H) Chievo,(V) Udinese,2,3,1.91846,1.83753,9.7726,9.5046,7.8139,7.8161,14.2311,13.9429
2015-12-06 18:00:00,697,(V) Chievo,(H) Frosinone,2,0,1.2951,1.23162,9.5046,9.8847,7.8161,7.7121,13.9429,14.3071
2015-12-13 18:00:00,705,(H) Chievo,(V) Atalanta,1,0,1.55883,0.108307,9.8847,10.1814,7.7121,8.1214,14.3071,14.2412
2015-12-20 18:00:00,712,(V) Chievo,(H) Fiorentina,0,2,0.228348,1.00227,10.1814,10.1983,8.1214,8.4448,14.2412,14.4516
2016-01-06 18:00:00,722,(H) Chievo,(V) Roma,3,3,1.7967,2.52768,10.1983,10.0672,8.4448,8.1310,14.4516,14.5033
2016-01-10 18:00:00,735,(V) Chievo,(H) Bologna,1,0,0.344665,1.22915,10.0672,10.4400,8.131,8.0327,14.5033,15.0973
2016-01-17 18:00:00,747,(H) Chievo,(V) Empoli,1,1,1.13429,0.941671,10.44,10.5679,8.0327,8.2088,15.0973,15.1771
2016-01-24 18:00:00,758,(V) Chievo,(H) Lazio,1,4,1.48963,2.6703,10.5679,10.0521,8.2088,8.1479,15.1771,14.9565
2016-01-31 15:30:00,764,(H) Chievo,(V) Juventus,0,4,0.178979,3.68705,10.0521,9.3650,8.1479,7.5837,14.9565,15.1464
2016-02-03 23:45:00,774,(V) Chievo,(H) Inter,0,1,0.382305,2.4039,9.365,9.2507,7.5837,7.2140,15.1464,15.5375
2016-02-07 18:00:00,787,(V) Chievo,(H) Torino,2,1,1.02676,0.955057,9.2507,9.6780,7.214,7.4093,15.5375,15.9469
2016-02-13 21:00:00,794,(H) Chievo,(V) Sassuolo,1,1,1.50751,1.10703,9.678,9.4500,7.4093,7.2814,15.9469,15.6188
2016-02-20 21:00:00,802,(V) Chievo,(H) Verona,1,3,1.28607,2.44214,9.45,9.0541,7.2814,7.0965,15.6188,15.5119
2016-02-28 18:00:00,815,(H) Chievo,(V) Genoa,1,0,1.76947,0.526085,9.0541,9.5196,7.0965,7.6229,15.5119,15.6666
2016-03-05 23:45:00,823,(V) Chievo,(H) Napoli,1,3,0.275541,3.32828,9.5196,9.8252,7.6229,7.6653,15.6666,16.7354
2016-03-13 15:30:00,834,(H) Chievo,(V) AC Milan,0,0,0.988176,0.744968,9.8252,10.1140,7.6653,8.0149,16.7354,16.9633
2016-03-20 18:00:00,845,(V) Chievo,(H) Sampdoria,1,0,2.61414,1.18347,10.114,10.6750,8.0149,8.6836,16.9633,17.1666
2016-04-03 17:00:00,854,(H) Chievo,(V) Palermo,3,1,1.34014,1.80741,10.675,10.7240,8.6836,8.1158,17.1666,17.3324
2016-04-09 20:00:00,863,(H) Chievo,(V) Carpi,1,0,1.22666,0.721378,10.724,10.6691,8.1158,7.9372,17.3324,17.1512
2016-04-17 17:00:00,877,(V) Chievo,(H) Udinese,0,0,0.205673,0.994096,10.6691,10.8488,7.9372,7.9198,17.1512,17.5280
2016-04-20 22:45:00,886,(H) Chievo,(V) Frosinone,5,1,2.31378,0.265652,10.8488,11.2823,7.9198,7.8653,17.528,17.4494
2016-04-24 17:00:00,896,(V) Chievo,(H) Atalanta,0,1,0.347217,0.939437,11.2823,10.9990,7.8653,7.6840,17.4494,17.3142
2016-04-30 22:45:00,902,(H) Chievo,(V) Fiorentina,0,0,1.07367,0.857695,10.999,10.5908,7.684,7.3298,17.3142,16.8520
2016-05-08 14:30:00,913,(V) Chievo,(H) Roma,0,3,0.720434,2.07283,10.5908,9.8841,7.3298,7.0350,16.852,16.4834
2016-05-15 20:00:00,927,(H) Chievo,(V) Bologna,0,0,0.35378,0.425809,9.8841,9.4581,7.035,6.5910,16.4834,16.0755
2016-08-21 22:45:00,938,(H) Chievo,(V) Inter,2,0,0.778083,1.01715,9.4581,9.9686,6.591,6.5418,16.0755,16.6458
2016-08-28 22:45:00,950,(V) Chievo,(H) Fiorentina,0,1,0.795506,0.763552,9.9686,10.1922,6.5418,7.0234,16.6458,16.8614
2016-09-11 17:00:00,954,(H) Chievo,(V) Lazio,1,1,2.00749,0.74614,10.1922,10.2745,7.0234,7.4211,16.8614,16.6284
2016-09-18 14:30:00,963,(V) Chievo,(H) Udinese,2,1,2.50145,0.753743,10.2745,10.4750,7.4211,7.8085,16.6284,16.3920
2016-09-21 22:45:00,972,(H) Chievo,(V) Sassuolo,2,1,0.195009,0.435427,10.475,10.7292,7.8085,7.7526,16.392,16.7063
2016-09-24 22:45:00,981,(V) Chievo,(H) Napoli,0,2,0.41855,0.644091,10.7292,10.6177,7.7526,8.0847,16.7063,16.6512
2016-10-01 20:00:00,990,(V) Chievo,(H) Pescara,2,0,1.81437,0.518031,10.6177,10.8724,8.0847,8.1635,16.6512,16.5819
2016-10-16 22:45:00,1008,(H) Chievo,(V) AC Milan,1,3,0.253892,1.59791,10.8724,10.2782,8.1635,7.7333,16.5819,16.3237
2016-10-23 17:00:00,1016,(V) Chievo,(H) Empoli,0,0,1.014,0.445783,10.2782,9.9254,7.7333,7.5225,16.3237,15.8288
2016-10-26 22:45:00,3285,(H) Chievo,(V) Bologna,1,1,1.00976,0.201128,9.9254,9.8251,7.5225,7.6244,15.8288,15.5264
2016-10-30 18:00:00,3295,(V) Chievo,(H) Crotone,0,2,0.659158,1.72351,9.8251,9.2381,7.6244,7.2713,15.5264,15.2055
