Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2015-08-15 17:30:00,1025,126,Ingolstadt,125,Mainz 05,1,0,,,0.577316,0.547769
2015-08-23 17:30:00,1037,126,Ingolstadt,129,Borussia Dortmund,0,4,,,0.0514071,3.63386
2015-08-29 17:30:00,1041,126,Ingolstadt,121,Augsburg,1,0,,,1.24787,0.832315
2015-09-12 17:30:00,1052,126,Ingolstadt,131,Wolfsburg,0,0,,,0.178191,0.732037
2015-09-19 17:30:00,1061,126,Ingolstadt,123,Werder Bremen,1,0,,,1.47429,1.22829
2015-09-22 22:00:00,1068,126,Ingolstadt,118,Hamburger SV,0,1,,,0.718034,1.16174
2015-09-25 22:30:00,1075,126,Ingolstadt,134,FC Cologne,1,1,,,0.638071,1.3352
2015-10-03 17:30:00,1089,126,Ingolstadt,132,Eintracht Frankfurt,2,0,,,1.185,0.740308
2015-10-18 19:30:00,1101,126,Ingolstadt,133,VfB Stuttgart,0,1,,,1.63336,1.33256
2015-10-24 20:30:00,1108,126,Ingolstadt,122,Hertha Berlin,0,1,,,0.66126,0.702791
2015-10-31 18:30:00,1116,126,Ingolstadt,124,Schalke 04,1,1,,,0.26092,1.07951
2015-11-07 18:30:00,1124,126,Ingolstadt,130,Borussia M.Gladbach,0,0,,,0.939938,1.28313
2015-11-22 20:40:00,1137,126,Ingolstadt,127,Darmstadt,3,1,,,2.73623,0.58372
2015-11-28 18:30:00,1140,126,Ingolstadt,128,Hannover 96,0,4,,,0.366248,1.50396
2015-12-05 18:30:00,1152,126,Ingolstadt,120,Hoffenheim,1,1,,,0.489495,1.12887
2015-12-12 18:30:00,1161,126,Ingolstadt,117,Bayern Munich,0,2,,,1.00727,2.49703
2015-12-19 18:30:00,1166,126,Ingolstadt,119,Bayer Leverkusen,0,1,,,0.461211,0.717973
2016-01-23 18:30:00,1179,126,Ingolstadt,125,Mainz 05,1,0,,,1.79614,0.651914
2016-01-30 18:30:00,1185,126,Ingolstadt,129,Borussia Dortmund,0,2,,,0.145484,2.19495
2016-02-06 18:30:00,1197,126,Ingolstadt,121,Augsburg,2,1,,,2.8596,0.232784
2016-02-13 18:30:00,1204,126,Ingolstadt,131,Wolfsburg,0,2,,,0.549133,1.37415
2016-02-20 18:30:00,1214,126,Ingolstadt,123,Werder Bremen,2,0,,,1.85348,0.572222
2016-02-27 18:30:00,1222,126,Ingolstadt,118,Hamburger SV,1,1,,,1.01142,0.897328
2016-03-01 23:00:00,1229,126,Ingolstadt,134,FC Cologne,1,1,,,1.40092,1.14458
2016-03-05 18:30:00,1240,126,Ingolstadt,132,Eintracht Frankfurt,1,1,,,1.55385,2.63935
2016-03-12 18:30:00,1248,126,Ingolstadt,133,VfB Stuttgart,3,3,,,1.86907,3.11394
2016-03-19 18:30:00,1260,126,Ingolstadt,122,Hertha Berlin,1,2,,,0.67263,1.12049
2016-04-02 17:30:00,1267,126,Ingolstadt,124,Schalke 04,3,0,,,1.86933,0.864055
2016-04-09 17:30:00,1274,126,Ingolstadt,130,Borussia M.Gladbach,1,0,,,2.04687,0.311628
2016-04-16 17:30:00,1284,126,Ingolstadt,127,Darmstadt,0,2,,,0.351721,1.24602
2016-04-23 17:30:00,1296,126,Ingolstadt,128,Hannover 96,2,2,,,1.16542,1.22986
2016-04-30 17:30:00,1302,126,Ingolstadt,120,Hoffenheim,1,2,,,2.37831,1.82345
2016-05-07 17:30:00,1317,126,Ingolstadt,117,Bayern Munich,1,2,,,1.94299,2.27556
