Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2014-08-24 16:30:00,5455,133,VfB Stuttgart,130,Borussia M.Gladbach,1,1,,,0.433199,2.40939
2014-08-30 14:30:00,5458,133,VfB Stuttgart,134,FC Cologne,0,2,,,0.722885,1.2983
2014-09-13 14:30:00,5413,133,VfB Stuttgart,117,Bayern Munich,0,2,,,0.310166,1.22987
2014-09-20 14:30:00,5421,133,VfB Stuttgart,120,Hoffenheim,0,2,,,1.32987,1.15033
2014-09-24 19:00:00,5433,133,VfB Stuttgart,129,Borussia Dortmund,2,2,,,1.48044,2.13683
2014-09-27 14:30:00,5440,133,VfB Stuttgart,128,Hannover 96,1,0,,,0.826395,0.853246
2014-10-03 19:30:00,5383,133,VfB Stuttgart,122,Hertha Berlin,2,3,,,1.42919,2.36582
2014-10-18 14:30:00,5396,133,VfB Stuttgart,119,Bayer Leverkusen,3,3,,,1.30466,1.86824
2014-10-25 14:30:00,5402,133,VfB Stuttgart,132,Eintracht Frankfurt,5,4,,,3.13433,2.97969
2014-11-01 14:30:00,5350,133,VfB Stuttgart,131,Wolfsburg,0,4,,,0.924949,2.69946
2014-11-08 17:30:00,5362,133,VfB Stuttgart,123,Werder Bremen,0,2,,,0.774005,0.645076
2014-11-23 16:30:00,5373,133,VfB Stuttgart,121,Augsburg,0,1,,,0.382848,2.06226
2014-11-28 19:30:00,5374,133,VfB Stuttgart,135,Freiburg,4,1,,,3.36392,1.49535
2014-12-06 14:30:00,5315,133,VfB Stuttgart,124,Schalke 04,0,4,,,0.675308,1.6953
2014-12-13 17:30:00,5327,133,VfB Stuttgart,125,Mainz 05,1,1,,,0.54527,1.35199
2014-12-16 19:00:00,5331,133,VfB Stuttgart,118,Hamburger SV,1,0,,,1.36453,0.436429
2014-12-20 14:30:00,5344,133,VfB Stuttgart,205,Paderborn,0,0,,,0.772123,0.933283
2015-01-31 14:30:00,5308,133,VfB Stuttgart,130,Borussia M.Gladbach,0,1,,,1.61352,1.27392
2015-02-04 19:00:00,5267,133,VfB Stuttgart,134,FC Cologne,0,0,,,0.621159,0.310801
2015-02-07 14:30:00,5274,133,VfB Stuttgart,117,Bayern Munich,0,2,,,0.132112,0.0975022
2015-02-14 14:30:00,5283,133,VfB Stuttgart,120,Hoffenheim,1,2,,,0.1911,1.20262
2015-02-20 19:30:00,5289,133,VfB Stuttgart,129,Borussia Dortmund,2,3,,,1.55893,1.56399
2015-02-28 14:30:00,5302,133,VfB Stuttgart,128,Hannover 96,1,1,,,0.742277,1.5399
2015-03-06 19:30:00,5233,133,VfB Stuttgart,122,Hertha Berlin,0,0,,,1.07906,0.682492
2015-03-13 19:30:00,5242,133,VfB Stuttgart,119,Bayer Leverkusen,0,4,,,1.03528,1.59835
2015-03-21 14:30:00,5256,133,VfB Stuttgart,132,Eintracht Frankfurt,3,1,,,2.22419,1.35468
2015-04-04 14:30:00,5200,133,VfB Stuttgart,131,Wolfsburg,1,3,,,1.92469,3.74206
2015-04-12 16:30:00,5212,133,VfB Stuttgart,123,Werder Bremen,3,2,,,2.35291,0.448325
2015-04-18 17:30:00,5219,133,VfB Stuttgart,121,Augsburg,1,2,,,2.41152,1.14401
2015-04-25 14:30:00,5224,133,VfB Stuttgart,135,Freiburg,2,2,,,1.20966,2.04706
2015-05-02 14:30:00,5159,133,VfB Stuttgart,124,Schalke 04,2,3,,,1.13594,2.46865
2015-05-09 17:30:00,5174,133,VfB Stuttgart,125,Mainz 05,2,0,,,2.70104,0.278579
