Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-09 20:00:00,6186,SC Bastia,Marseille,3,3,10,9.8750,10,9.8948,10,9.8552
2014-08-16 16:00:00,6196,SC Bastia,Paris Saint Germain,0,2,9.875,9.5000,9.8948,9.6840,9.8552,9.8160
2014-08-23 19:00:00,6211,SC Bastia,Toulouse,1,0,9.5,9.6250,9.684,9.6676,9.816,9.8324
2014-08-31 13:00:00,6222,SC Bastia,Bordeaux,1,1,9.625,10.1250,9.6676,10.0864,9.8324,10.4136
2014-09-13 19:00:00,6151,SC Bastia,Lens,1,1,10.125,10.0938,10.0864,10.1518,10.4136,10.2857
2014-09-20 19:00:00,6158,SC Bastia,Metz,1,3,10.0938,9.6094,10.1518,9.8412,10.2857,10.1275
2014-09-24 18:00:00,6172,SC Bastia,Nantes,0,0,9.6094,9.3985,9.8412,9.2965,10.1275,10.2503
2014-09-27 19:00:00,6179,SC Bastia,Lille,0,1,9.3985,9.5157,9.2965,9.6126,10.2503,10.4186
2014-10-04 19:00:00,6117,SC Bastia,Lorient,0,2,9.5157,8.7130,9.6126,9.2135,10.4186,9.7122
2014-10-18 19:00:00,6130,SC Bastia,Nice,1,0,8.713,9.2208,9.2135,9.3058,9.7122,10.3854
2014-10-25 19:00:00,6137,SC Bastia,Monaco,1,3,9.2208,8.9303,9.3058,9.1971,10.3854,10.4131
2014-11-01 19:00:00,6078,SC Bastia,Guingamp,0,1,8.9303,8.9030,9.1971,9.3589,10.4131,10.4466
2014-11-08 19:00:00,6088,SC Bastia,Montpellier,2,0,8.903,9.2909,9.3589,9.4845,10.4466,10.5969
2014-11-22 16:00:00,6096,SC Bastia,Lyon,0,0,9.2909,10.0289,9.4845,10.2485,10.5969,11.3089
2014-11-29 19:00:00,6106,SC Bastia,Reims,1,2,10.0289,10.1392,10.2485,10.6207,11.3089,11.4073
2014-12-03 18:00:00,6042,SC Bastia,Evian Thonon Gaillard,1,2,10.1392,9.6066,10.6207,10.4723,11.4073,10.7404
2014-12-06 19:00:00,6049,SC Bastia,Saint-Etienne,0,1,9.6066,9.7840,10.4723,11.0313,10.7404,10.7861
2014-12-13 19:00:00,6060,SC Bastia,Rennes,2,0,9.784,10.4839,11.0313,11.4289,10.7861,11.2883
2014-12-20 19:00:00,6070,SC Bastia,Caen,1,1,10.4839,10.2581,11.4289,11.3854,11.2883,10.8803
2015-01-10 16:00:00,6000,SC Bastia,Paris Saint Germain,4,2,10.2581,10.5680,11.3854,11.2288,10.8803,11.1567
2015-01-17 19:00:00,6012,SC Bastia,Toulouse,1,1,10.568,10.3194,11.2288,11.1035,11.1567,10.7847
2015-01-24 19:00:00,6023,SC Bastia,Bordeaux,0,0,10.3194,9.7753,11.1035,10.6657,10.7847,10.1343
2015-01-31 19:00:00,6031,SC Bastia,Lens,1,1,9.7753,9.7703,10.6657,10.3523,10.1343,10.4376
2015-02-07 19:00:00,5966,SC Bastia,Metz,2,0,9.7703,10.1295,10.3523,10.4533,10.4376,10.5550
2015-02-14 19:00:00,5975,SC Bastia,Nantes,2,0,10.1295,10.6094,10.4533,10.5306,10.555,10.9375
2015-02-21 19:00:00,5985,SC Bastia,Lille,2,1,10.6094,10.8462,10.5306,10.5358,10.9375,11.1559
2015-02-28 19:00:00,5993,SC Bastia,Lorient,0,2,10.8462,10.4366,10.5358,10.4285,11.1559,10.9440
2015-03-07 19:00:00,5934,SC Bastia,Nice,2,1,10.4366,10.3045,10.4285,10.1495,10.944,10.7088
2015-03-13 19:30:00,5940,SC Bastia,Monaco,0,3,10.3045,9.7848,10.1495,9.2154,10.7088,11.3534
2015-03-21 19:00:00,5953,SC Bastia,Guingamp,0,0,9.7848,9.4610,9.2154,8.7960,11.3534,11.1252
