Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-24 16:30:00,5455,Borussia M.Gladbach,VfB Stuttgart,1,1,10,9.8750,10,10.3690,10,9.3810
2014-08-31 16:30:00,5464,Borussia M.Gladbach,Freiburg,0,0,9.875,10.0000,10.369,10.2491,9.381,9.7509
2014-09-13 17:30:00,5417,Borussia M.Gladbach,Schalke 04,4,1,10.0,10.6250,10.2491,10.5145,9.7509,9.9855
2014-09-21 16:30:00,5428,Borussia M.Gladbach,FC Cologne,0,0,10.625,10.8750,10.5145,10.8196,9.9855,10.1804
2014-09-24 19:00:00,5435,Borussia M.Gladbach,Hamburger SV,1,0,10.875,10.5625,10.8196,10.7142,10.1804,9.4108
2014-09-27 14:30:00,5443,Borussia M.Gladbach,Paderborn,2,1,10.5625,10.9375,10.7142,10.8043,9.4108,9.8207
2014-10-05 16:30:00,5391,Borussia M.Gladbach,Mainz 05,1,1,10.9375,10.8711,10.8043,10.8777,9.8207,9.6145
2014-10-18 14:30:00,5394,Borussia M.Gladbach,Hannover 96,3,0,10.8711,11.5039,10.8777,11.0255,9.6145,9.9823
2014-10-26 16:30:00,5409,Borussia M.Gladbach,Bayern Munich,0,0,11.5039,11.8174,11.0255,11.1999,9.9823,10.4349
2014-11-02 14:30:00,5353,Borussia M.Gladbach,Hoffenheim,3,1,11.8174,11.9082,11.1999,11.2448,10.4349,10.0717
2014-11-09 16:30:00,5364,Borussia M.Gladbach,Borussia Dortmund,0,1,11.9082,10.9592,11.2448,9.9841,10.0717,9.6845
2014-11-22 14:30:00,5367,Borussia M.Gladbach,Eintracht Frankfurt,1,3,10.9592,9.5700,9.9841,8.8088,9.6845,8.5815
2014-11-30 14:30:00,5381,Borussia M.Gladbach,Wolfsburg,0,1,9.57,9.7027,8.8088,8.9201,8.5815,8.9857
2014-12-06 14:30:00,5313,Borussia M.Gladbach,Hertha Berlin,3,2,9.7027,9.7338,8.9201,8.8028,8.9857,8.9152
2014-12-14 14:30:00,5328,Borussia M.Gladbach,Bayer Leverkusen,1,1,9.7338,10.2199,8.8028,9.3242,8.9152,9.3659
2014-12-17 19:00:00,5336,Borussia M.Gladbach,Werder Bremen,4,1,10.2199,10.8967,9.3242,9.6910,9.3659,9.6026
2014-12-20 14:30:00,5340,Borussia M.Gladbach,Augsburg,1,2,10.8967,10.7641,9.691,9.9385,9.6026,9.3400
2015-01-31 14:30:00,5308,Borussia M.Gladbach,VfB Stuttgart,1,0,10.7641,10.7635,9.9385,9.6030,9.34,9.4243
2015-02-03 19:00:00,5265,Borussia M.Gladbach,Freiburg,1,0,10.7635,10.5260,9.603,9.2167,9.4243,9.0856
2015-02-06 19:30:00,5271,Borussia M.Gladbach,Schalke 04,0,1,10.526,10.2188,9.2167,8.9844,9.0856,8.9534
2015-02-14 14:30:00,5281,Borussia M.Gladbach,FC Cologne,1,0,10.2188,10.2013,8.9844,8.8182,8.9534,8.8346
2015-02-22 14:30:00,5296,Borussia M.Gladbach,Hamburger SV,1,1,10.2013,10.3401,8.8182,8.8605,8.8346,9.0699
2015-03-01 14:30:00,5231,Borussia M.Gladbach,Paderborn,2,0,10.3401,10.4051,8.8605,8.5987,9.0699,8.9617
2015-03-07 17:30:00,5239,Borussia M.Gladbach,Mainz 05,2,2,10.4051,10.3198,8.5987,8.5720,8.9617,8.8178
2015-03-15 16:30:00,5250,Borussia M.Gladbach,Hannover 96,2,0,10.3198,10.2454,8.572,8.7253,8.8178,8.0157
2015-03-22 16:30:00,5259,Borussia M.Gladbach,Bayern Munich,2,0,10.2454,11.4386,8.7253,9.3927,8.0157,9.2348
2015-04-04 14:30:00,5198,Borussia M.Gladbach,Hoffenheim,4,1,11.4386,12.2607,9.3927,9.6853,9.2348,9.8364
2015-04-11 14:30:00,5207,Borussia M.Gladbach,Borussia Dortmund,3,1,12.2607,12.3475,9.6853,9.6184,9.8364,9.5768
2015-04-17 19:30:00,5213,Borussia M.Gladbach,Eintracht Frankfurt,0,0,12.3475,11.6442,9.6184,8.8170,9.5768,8.9716
2015-04-26 16:30:00,5230,Borussia M.Gladbach,Wolfsburg,1,0,11.6442,11.3741,8.817,8.6049,8.9716,8.3934
2015-05-03 16:30:00,5167,Borussia M.Gladbach,Hertha Berlin,2,1,11.3741,11.2668,8.6049,8.5211,8.3934,8.0127
2015-05-09 14:30:00,5171,Borussia M.Gladbach,Bayer Leverkusen,3,0,11.2668,12.0223,8.5211,8.8943,8.0127,8.4006
2015-05-16 14:30:00,5182,Borussia M.Gladbach,Werder Bremen,2,0,12.0223,12.1678,8.8943,8.6013,8.4006,8.4846
2015-05-23 14:30:00,5191,Borussia M.Gladbach,Augsburg,1,3,12.1678,10.9919,8.6013,8.0913,8.4846,7.1429
