Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-08 19:30:00,6185,Reims,Paris Saint Germain,2,2,10,9.8750,10,9.5531,10,10.1969
2014-08-17 16:00:00,6203,Reims,Saint-Etienne,1,3,9.875,9.5000,9.5531,9.1422,10.1969,10.3578
2014-08-23 19:00:00,6209,Reims,Caen,0,2,9.5,9.1250,9.1422,9.2846,10.3578,9.9654
2014-08-30 19:00:00,6220,Reims,Lens,2,4,9.125,8.7500,9.2846,9.0617,9.9654,9.9383
2014-09-13 19:00:00,6148,Reims,Toulouse,2,0,8.75,9.3125,9.0617,8.8121,9.9383,10.8129
2014-09-20 19:00:00,6157,Reims,Lorient,1,0,9.3125,10.1250,8.8121,9.5221,10.8129,11.4779
2014-09-23 18:00:00,6165,Reims,Marseille,0,5,10.125,9.1836,9.5221,9.0198,11.4779,11.3474
2014-09-27 19:00:00,6178,Reims,Metz,0,3,9.1836,8.5508,9.0198,8.7733,11.3474,11.0783
2014-10-03 19:30:00,6114,Reims,Bordeaux,1,0,8.5508,8.8487,8.7733,8.7813,11.0783,11.4160
2014-10-18 19:00:00,6129,Reims,Nantes,1,1,8.8487,9.2921,8.7813,9.4011,11.416,11.6829
2014-10-25 19:00:00,6136,Reims,Montpellier,1,0,9.2921,9.6725,9.4011,9.5343,11.6829,12.0604
2014-10-31 19:30:00,6144,Reims,Monaco,1,1,9.6725,10.1286,9.5343,9.8743,12.0604,12.6325
2014-11-09 16:00:00,6092,Reims,Lille,2,0,10.1286,10.2322,9.8743,9.9268,12.6325,12.2872
2014-11-22 19:00:00,6099,Reims,Nice,0,0,10.2322,10.5000,9.9268,10.0670,12.2872,12.6825
2014-11-29 19:00:00,6106,Reims,SC Bastia,2,1,10.5,10.3897,10.067,9.6948,12.6825,12.5841
2014-12-04 20:00:00,6045,Reims,Lyon,1,2,10.3897,10.3937,9.6948,9.6713,12.5841,12.8657
2014-12-07 16:00:00,6054,Reims,Guingamp,2,3,10.3937,9.6233,9.6713,9.1350,12.8657,12.1112
2014-12-13 19:00:00,6059,Reims,Evian Thonon Gaillard,3,2,9.6233,9.7303,9.135,9.2555,12.1112,11.9546
2014-12-20 19:00:00,6072,Reims,Rennes,3,1,9.7303,10.3470,9.2555,9.4601,11.9546,12.4834
2015-01-10 19:00:00,6005,Reims,Saint-Etienne,1,2,10.347,10.3587,9.4601,9.7164,12.4834,12.5005
2015-01-17 19:00:00,6013,Reims,Caen,1,4,10.3587,9.2278,9.7164,8.9626,12.5005,11.7426
2015-01-25 16:00:00,6027,Reims,Lens,0,0,9.2278,8.9920,8.9626,8.3268,11.7426,11.9069
2015-01-31 19:00:00,6033,Reims,Toulouse,0,1,8.992,8.7838,8.3268,8.1696,11.9069,11.8977
2015-02-07 19:00:00,5965,Reims,Lorient,1,3,8.7838,8.4025,8.1696,8.4637,11.8977,11.3410
2015-02-13 19:30:00,5973,Reims,Marseille,2,2,8.4025,8.8604,8.4637,8.7523,11.341,11.9682
2015-02-22 16:00:00,5988,Reims,Metz,0,0,8.8604,8.9905,8.7523,8.8720,11.9682,12.1088
2015-02-28 19:00:00,5994,Reims,Bordeaux,1,1,8.9905,9.4223,8.872,9.2639,12.1088,12.5805
2015-03-07 19:00:00,5932,Reims,Nantes,3,1,9.4223,9.8908,9.2639,9.6855,12.5805,12.5958
2015-03-14 19:00:00,5944,Reims,Montpellier,1,3,9.8908,9.8637,9.6855,9.6972,12.5958,13.0299
2015-03-22 16:00:00,5958,Reims,Monaco,1,3,9.8637,9.5886,9.6972,9.7588,13.0299,12.9182
2015-04-04 19:00:00,5887,Reims,Lille,1,3,9.5886,9.5842,9.7588,9.7848,12.9182,13.3834
2015-04-12 16:00:00,5900,Reims,Nice,0,1,9.5842,9.4124,9.7848,9.7736,13.3834,13.3010
2015-04-18 19:00:00,5911,Reims,SC Bastia,2,1,9.4124,9.6561,9.7736,10.0922,13.301,13.2197
2015-04-26 20:00:00,5924,Reims,Lyon,2,4,9.6561,9.4251,10.0922,9.8702,13.2197,13.4797
2015-05-02 19:00:00,5848,Reims,Guingamp,0,2,9.4251,8.9912,9.8702,9.6387,13.4797,13.3434
2015-05-09 19:00:00,5857,Reims,Evian Thonon Gaillard,3,2,8.9912,9.3451,9.6387,10.0067,13.3434,13.4333
2015-05-16 20:00:00,5874,Reims,Rennes,1,0,9.3451,9.9530,10.0067,10.8044,13.4333,13.6014
2015-05-23 20:00:00,5878,Reims,Paris Saint Germain,2,3,9.953,10.8066,10.8044,11.7766,13.6014,14.5864
