Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-03 16:30:00,6422,FC Ufa,Kuban Krasnodar,0,2,10,9.6250,10,9.6234,10,10.1266
2014-08-08 15:00:00,6425,FC Ufa,Amkar,1,0,9.625,10.0000,9.6234,9.7058,10.1266,10.5442
2014-08-13 12:00:00,6434,FC Ufa,Dinamo Moscow,0,2,10.0,9.6875,9.7058,9.9300,10.5442,10.1950
2014-08-16 17:00:00,6442,FC Ufa,Zenit St. Petersburg,0,1,9.6875,10.2500,9.93,10.2882,10.195,11.2118
2014-08-23 11:00:00,6450,FC Ufa,Spartak Moscow,1,2,10.25,10.0469,10.2882,9.8448,11.2118,11.4990
2014-08-31 13:00:00,6462,FC Ufa,Rubin Kazan,1,1,10.0469,9.9532,9.8448,9.4623,11.499,11.6940
2014-09-14 16:00:00,6398,FC Ufa,FC Krasnodar,2,0,9.9532,10.9845,9.4623,9.5486,11.694,13.1702
2014-09-20 09:00:00,6402,FC Ufa,Ural,0,1,10.9845,10.2540,9.5486,8.5662,13.1702,12.9416
2014-09-27 13:00:00,6410,FC Ufa,Mordovya,2,0,10.254,10.5547,8.5662,8.5582,12.9416,13.0511
2014-10-20 14:00:00,6382,FC Ufa,Torpedo Moscow,1,1,10.5547,10.1426,8.5582,8.1319,13.0511,12.6531
2014-10-26 10:30:00,6388,FC Ufa,CSKA Moscow,3,3,10.1426,10.0127,8.1319,7.7878,12.6531,12.7374
2014-11-03 16:00:00,6352,FC Ufa,FK Akhmat,0,1,10.0127,9.7754,7.7878,7.6731,12.7374,12.6275
2014-11-09 12:00:00,6358,FC Ufa,FC Rostov,0,0,9.7754,9.2666,7.6731,7.1973,12.6275,12.0857
2014-11-24 16:00:00,6368,FC Ufa,Lokomotiv Moscow,0,0,9.2666,9.7682,7.1973,7.5899,12.0857,12.6963
2014-11-29 12:45:00,6371,FC Ufa,CSKA Moscow,0,5,9.7682,9.0385,7.5899,7.3438,12.6963,12.7329
2014-12-02 16:00:00,6330,FC Ufa,Arsenal Tula,1,0,9.0385,9.4941,7.3438,7.5576,12.7329,13.1802
2014-12-08 14:00:00,6343,FC Ufa,Torpedo Moscow,2,2,9.4941,9.7096,7.5576,7.6629,13.1802,13.5059
2015-03-08 13:00:00,6309,FC Ufa,Dinamo Moscow,1,3,9.7096,9.7464,7.6629,7.9991,13.5059,13.7433
2015-03-14 10:00:00,6315,FC Ufa,Amkar,1,1,9.7464,9.2764,7.9991,7.5018,13.7433,13.3006
2015-03-20 14:00:00,6322,FC Ufa,FC Krasnodar,0,2,9.2764,8.8343,7.5018,7.4688,13.3006,12.9495
