Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-16 12:45:00,4749,Manchester United,Swansea,1,2,10,9.6250,10,10.0971,10,9.4029
2014-08-24 16:00:00,4767,Manchester United,Sunderland,1,1,9.625,9.7500,10.0971,10.2909,9.4029,9.4591
2014-08-30 12:45:00,4769,Manchester United,Burnley,0,0,9.75,9.8125,10.2909,10.3418,9.4591,9.5332
2014-09-14 16:00:00,4727,Manchester United,Queens Park Rangers,4,0,9.8125,10.4375,10.3418,10.3782,9.5332,9.7468
2014-09-21 13:30:00,4736,Manchester United,Leicester,3,5,10.4375,9.9688,10.3782,10.2019,9.7468,9.4856
2014-09-27 15:00:00,4740,Manchester United,West Ham,2,1,9.9688,9.9375,10.2019,9.7321,9.4856,9.6429
2014-10-05 12:00:00,4695,Manchester United,Everton,2,1,9.9375,9.9453,9.7321,9.3620,9.6429,9.7786
2014-10-20 20:00:00,4708,Manchester United,West Bromwich Albion,2,2,9.9453,10.1953,9.362,9.6914,9.7786,9.9492
2014-10-26 16:00:00,4717,Manchester United,Chelsea,1,1,10.1953,10.6611,9.6914,10.3699,9.9492,10.2023
2014-11-02 13:30:00,4656,Manchester United,Manchester City,0,1,10.6611,10.9355,10.3699,10.4345,10.2023,10.9366
2014-11-08 15:00:00,4661,Manchester United,Crystal Palace,1,0,10.9355,10.9462,10.4345,10.3342,10.9366,10.8084
2014-11-22 17:30:00,4675,Manchester United,Arsenal,2,1,10.9462,11.3373,10.3342,10.2946,10.8084,11.3802
2014-11-29 15:00:00,4683,Manchester United,Hull,3,0,11.3373,11.6666,10.2946,10.2585,11.3802,11.3248
2014-12-02 19:45:00,4591,Manchester United,Stoke,2,1,11.6666,11.2847,10.2585,9.7817,11.3248,10.7879
2014-12-08 20:00:00,4608,Manchester United,Southampton,2,1,11.2847,11.1335,9.7817,9.1231,10.7879,10.8941
2014-12-14 13:30:00,4616,Manchester United,Liverpool,3,0,11.1335,11.4522,9.1231,8.6729,10.8941,11.2317
2014-12-20 15:00:00,4624,Manchester United,Aston Villa,1,1,11.4522,11.3352,8.6729,8.6791,11.2317,10.9916
2014-12-26 15:00:00,4636,Manchester United,Newcastle United,3,1,11.3352,11.3372,8.6791,8.3886,10.9916,10.7861
2014-12-28 12:00:00,4639,Manchester United,Tottenham,0,0,11.3372,11.2019,8.3886,8.5966,10.7861,10.3075
2015-01-01 12:45:00,4551,Manchester United,Stoke,1,1,11.2019,11.0294,8.5966,8.3051,10.3075,10.2540
2015-01-11 16:00:00,4570,Manchester United,Southampton,0,1,11.0294,10.5947,8.3051,8.1292,10.254,9.8105
2015-01-17 15:00:00,4574,Manchester United,Queens Park Rangers,2,0,10.5947,10.8199,8.1292,8.0111,9.8105,9.8790
2015-01-31 15:00:00,4583,Manchester United,Leicester,3,1,10.8199,11.0446,8.0111,8.0748,9.879,9.7647
2015-02-08 16:15:00,4524,Manchester United,West Ham,1,1,11.0446,11.0073,8.0748,8.1245,9.7647,9.6403
2015-02-11 19:45:00,4531,Manchester United,Burnley,3,1,11.0073,10.8790,8.1245,7.4389,9.6403,9.5694
2015-02-21 15:00:00,4539,Manchester United,Swansea,1,2,10.879,10.3971,7.4389,7.3144,9.5694,8.9801
2015-02-28 15:00:00,4550,Manchester United,Sunderland,2,0,10.3971,10.3354,7.3144,7.4433,8.9801,8.2278
2015-03-04 19:45:00,4487,Manchester United,Newcastle United,1,0,10.3354,10.3818,7.4433,7.3637,8.2278,8.1501
2015-03-15 16:00:00,4501,Manchester United,Tottenham,3,0,10.3818,11.0620,7.3637,7.4993,8.1501,8.6250
2015-03-22 13:30:00,4510,Manchester United,Liverpool,2,1,11.062,11.6894,7.4993,8.0438,8.625,9.0852
2015-04-04 15:00:00,4443,Manchester United,Aston Villa,3,1,11.6894,11.8898,8.0438,8.1622,9.0852,8.8676
2015-04-12 16:00:00,4459,Manchester United,Manchester City,4,2,11.8898,12.1124,8.1622,8.1103,8.8676,8.8648
2015-04-18 17:30:00,4465,Manchester United,Chelsea,0,1,12.1124,11.5628,8.1103,7.7095,8.8648,8.4163
2015-04-26 13:30:00,4476,Manchester United,Everton,0,3,11.5628,10.5264,7.7095,7.3409,8.4163,7.4621
2015-05-02 17:30:00,4405,Manchester United,West Bromwich Albion,0,1,10.5264,9.6431,7.3409,7.1553,7.4621,6.1311
2015-05-09 17:30:00,4415,Manchester United,Crystal Palace,2,1,9.6431,9.5881,7.1553,7.1639,6.1311,5.7625
2015-05-17 16:00:00,4427,Manchester United,Arsenal,1,1,9.5881,9.9597,7.1639,7.4473,5.7625,6.2224
2015-05-24 15:00:00,4435,Manchester United,Hull,0,0,9.9597,10.1168,7.4473,7.4583,6.2224,6.5257
