id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
375456,36,SavedShot,0.7140000152587891,0.3240000152587891,0.01578649692237377,Toma Basic,h,6902,OpenPlay,2020,LeftFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,Nicolas de Preville,Pass
375457,38,MissedShots,0.6,0.28200000762939453,0.008143110200762749,Otávio,h,6060,OpenPlay,2020,RightFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,,BallRecovery
375458,42,MissedShots,0.7119999694824218,0.5279999923706055,0.0167586300522089,Hwang Ui-Jo,h,7746,OpenPlay,2020,RightFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,Otávio,Pass
375459,46,MissedShots,0.9740000152587891,0.5359999847412109,0.5476214289665222,Hwang Ui-Jo,h,7746,FromCorner,2020,Head,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,Nicolas de Preville,Cross
375461,61,MissedShots,0.69,0.5640000152587891,0.01176509540528059,Otávio,h,6060,OpenPlay,2020,RightFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,Nicolas de Preville,Pass
375453,24,BlockedShot,0.7930000305175782,0.38,0.029603559523820877,Samuel Moutoussamy,a,6018,OpenPlay,2020,LeftFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,Abdoul Kader Bamba,Pass
375454,27,SavedShot,0.8030000305175782,0.7269999694824218,0.014588629826903343,Moses Simon,a,7169,OpenPlay,2020,RightFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,Imran Louza,Chipped
375455,34,MissedShots,0.78,0.665,0.02099865861237049,Samuel Moutoussamy,a,6018,OpenPlay,2020,LeftFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,Moses Simon,Pass
375460,51,MissedShots,0.725,0.39799999237060546,0.016512086614966393,Pedro Chirivella,a,1022,OpenPlay,2020,RightFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,Imran Louza,Pass
375462,71,BlockedShot,0.7780000305175782,0.5540000152587891,0.09248262643814087,Abdoul Kader Bamba,a,7760,DirectFreekick,2020,RightFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,,Standard
375463,86,MissedShots,0.72,0.3220000076293945,0.0136354248970747,Andrei Girotto,a,6112,OpenPlay,2020,RightFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,Fabio,Pass
