Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Manchester City,18,14,2,2,44,9,44,44.5,43.74,10.06,9.3,34.45,9.28,22.44,233,68,43.86
Liverpool,18,12,5,1,50,15,41,46.98,45.45,17.29,17.29,28.17,7.65,25.29,214,81,40.85
Chelsea,18,11,5,2,39,12,38,35.66,31.86,17.6,14.56,17.3,9.16,14.03,185,71,35.45
Arsenal,18,10,2,6,27,23,32,29.13,26.73,27.06,25.54,1.19,13.86,12.79,140,125,28.7
West Ham,17,8,4,5,28,21,28,25.29,22.85,22.77,22.01,0.84,13.22,12.18,98,118,25.9
Manchester United,16,8,3,5,26,24,27,24.07,21.79,26.1,23.82,-2.03,12.42,11.97,124,89,21.58
Tottenham,15,8,2,5,18,19,26,20.63,19.87,20.88,20.12,-0.26,12.59,10.34,87,120,21.51
Wolverhampton Wanderers,18,7,4,7,13,14,25,19.23,19.23,24.36,21.31,-2.09,15.63,9.81,83,136,22.15
Leicester,16,6,4,6,27,27,22,21.72,20.96,25.37,23.08,-2.12,10.97,10.89,112,113,19.67
Aston Villa,17,7,1,9,23,25,22,17.45,15.92,24.82,22.42,-6.5,12.82,8.04,112,123,18.78
Crystal Palace,17,4,8,5,24,24,20,22.66,21.14,17.51,16.75,4.39,11.42,9.91,106,110,26.69
Brentford,16,5,5,6,21,22,20,23.13,20.85,19.35,18.58,2.26,10.06,10.05,95,98,25.69
Brighton,16,4,8,4,14,17,20,19.42,17.13,19.37,17.85,-0.71,8.67,15.01,116,94,22.31
Everton,17,5,4,8,21,29,19,21.64,19.36,27.36,26.6,-7.23,13.99,8.41,89,125,20.77
Southampton,17,3,8,6,16,26,17,20.79,19.27,25.02,25.02,-5.75,9.56,9.11,102,108,21.31
Leeds,18,3,7,8,18,36,16,22.21,19.16,33.0,30.72,-11.56,7.77,11.85,105,128,20.16
Watford,16,4,1,11,21,31,13,18.16,16.63,30.77,28.49,-11.85,13.12,8.24,69,158,14.85
Burnley,15,1,8,6,14,21,11,15.35,15.35,24.17,24.17,-8.82,12.98,9.95,73,132,14.23
Newcastle United,18,1,7,10,18,41,10,16.57,15.8,36.16,31.44,-15.63,15.92,7.61,71,160,13.21
Norwich,17,2,4,11,8,34,10,14.79,13.27,30.36,27.31,-14.04,13.95,10.11,90,147,13.61
