Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 14:30:00,5450,Hertha Berlin,Werder Bremen,2,2,10,9.8750,10,10.0153,10,9.7347
2014-08-30 14:30:00,5460,Hertha Berlin,Bayer Leverkusen,2,4,9.875,9.5000,10.0153,9.6858,9.7347,9.8142
2014-09-13 14:30:00,5415,Hertha Berlin,Mainz 05,1,3,9.5,8.9375,9.6858,9.4608,9.8142,9.4142
2014-09-19 19:30:00,5420,Hertha Berlin,Freiburg,2,2,8.9375,9.1250,9.4608,9.5022,9.4142,9.7478
2014-09-24 19:00:00,5437,Hertha Berlin,Wolfsburg,1,0,9.125,9.5156,9.5022,9.5360,9.7478,10.2453
2014-09-28 14:30:00,5445,Hertha Berlin,Augsburg,0,1,9.5156,9.6875,9.536,9.7144,10.2453,10.6606
2014-10-03 19:30:00,5383,Hertha Berlin,VfB Stuttgart,3,2,9.6875,9.7226,9.7144,9.7337,10.6606,10.4616
2014-10-18 17:30:00,5398,Hertha Berlin,Schalke 04,0,2,9.7226,9.5780,9.7337,10.1001,10.4616,10.3061
2014-10-25 14:30:00,5405,Hertha Berlin,Hamburger SV,3,0,9.578,10.1610,10.1001,10.3652,10.3061,10.4570
2014-11-02 16:30:00,5355,Hertha Berlin,Paderborn,1,3,10.161,9.9276,10.3652,10.3712,10.457,10.4843
2014-11-07 19:30:00,5356,Hertha Berlin,Hannover 96,0,2,9.9276,8.9923,10.3712,9.7540,10.4843,9.7309
2014-11-22 17:30:00,5371,Hertha Berlin,FC Cologne,2,1,8.9923,9.1944,9.754,9.5430,9.7309,10.0962
2014-11-29 14:30:00,5378,Hertha Berlin,Bayern Munich,0,1,9.1944,9.5992,9.543,9.7767,10.0962,10.9221
2014-12-06 14:30:00,5313,Hertha Berlin,Borussia M.Gladbach,2,3,9.5992,9.5681,9.7767,9.8940,10.9221,10.9926
2014-12-13 14:30:00,5322,Hertha Berlin,Borussia Dortmund,1,0,9.5681,9.7910,9.894,9.8475,10.9926,11.2349
2014-12-17 19:00:00,5334,Hertha Berlin,Eintracht Frankfurt,4,4,9.791,10.3662,9.8475,10.2505,11.2349,11.9822
2014-12-21 14:30:00,5346,Hertha Berlin,Hoffenheim,0,5,10.3662,9.1002,10.2505,9.5039,11.9822,11.4468
2015-02-01 14:30:00,5260,Hertha Berlin,Werder Bremen,0,2,9.1002,8.3593,9.5039,9.0778,11.4468,10.8911
2015-02-04 19:00:00,5269,Hertha Berlin,Bayer Leverkusen,0,1,8.3593,8.4206,9.0778,9.2549,10.8911,11.0866
2015-02-07 14:30:00,5275,Hertha Berlin,Mainz 05,2,0,8.4206,9.6577,9.2549,10.0546,11.0866,12.2610
2015-02-15 14:30:00,5287,Hertha Berlin,Freiburg,0,2,9.6577,9.5389,10.0546,10.3267,12.261,12.2512
2015-02-22 16:30:00,5297,Hertha Berlin,Wolfsburg,1,2,9.5389,10.0092,10.3267,10.7437,12.2512,13.0247
2015-02-28 14:30:00,5303,Hertha Berlin,Augsburg,1,0,10.0092,10.3044,10.7437,10.9405,13.0247,13.1684
2015-03-06 19:30:00,5233,Hertha Berlin,VfB Stuttgart,0,0,10.3044,10.2215,10.9405,10.7584,13.1684,13.1846
2015-03-14 14:30:00,5245,Hertha Berlin,Schalke 04,2,2,10.2215,10.0177,10.7584,10.4678,13.1846,13.0677
2015-03-20 19:30:00,5251,Hertha Berlin,Hamburger SV,1,0,10.0177,10.1456,10.4678,10.4023,13.0677,13.1390
2015-04-05 16:30:00,5203,Hertha Berlin,Paderborn,2,0,10.1456,9.7847,10.4023,9.8618,13.139,12.4576
2015-04-10 19:30:00,5204,Hertha Berlin,Hannover 96,1,1,9.7847,9.7103,9.8618,9.4570,12.4576,12.7135
2015-04-18 14:30:00,5216,Hertha Berlin,FC Cologne,0,0,9.7103,9.7152,9.457,9.5938,12.7135,12.5865
2015-04-25 17:30:00,5228,Hertha Berlin,Bayern Munich,0,1,9.7152,10.0533,9.5938,10.1958,12.5865,12.9108
2015-05-03 16:30:00,5167,Hertha Berlin,Borussia M.Gladbach,1,2,10.0533,10.1606,10.1958,10.2796,12.9108,13.2915
2015-05-09 14:30:00,5170,Hertha Berlin,Borussia Dortmund,0,2,10.1606,9.8858,10.2796,10.0913,13.2915,13.4301
2015-05-16 14:30:00,5183,Hertha Berlin,Eintracht Frankfurt,0,0,9.8858,9.5927,10.0913,10.0589,13.4301,12.8763
2015-05-23 14:30:00,5190,Hertha Berlin,Hoffenheim,1,2,9.5927,9.3617,10.0589,9.9760,12.8763,12.7472
2015-08-15 17:30:00,1023,Hertha Berlin,Augsburg,1,0,9.3617,9.7218,9.976,10.1071,12.7472,13.0862
2015-08-21 22:30:00,1030,Hertha Berlin,Werder Bremen,1,1,9.7218,9.6037,10.1071,9.8732,13.0862,13.0839
2015-08-30 17:30:00,1046,Hertha Berlin,Borussia Dortmund,1,3,9.6037,9.6880,9.8732,9.6828,13.0839,13.9430
2015-09-12 17:30:00,1051,Hertha Berlin,VfB Stuttgart,2,1,9.688,9.8238,9.6828,9.6810,13.943,13.9664
2015-09-19 17:30:00,1059,Hertha Berlin,Wolfsburg,0,2,9.8238,9.8043,9.681,9.6220,13.9664,14.4865
2015-09-22 22:00:00,1067,Hertha Berlin,FC Cologne,2,0,9.8043,10.0905,9.622,9.5315,14.4865,14.6493
2015-09-27 17:30:00,1082,Hertha Berlin,Eintracht Frankfurt,1,1,10.0905,10.7192,9.5315,10.3644,14.6493,15.0739
2015-10-03 17:30:00,1087,Hertha Berlin,Hamburger SV,3,0,10.7192,11.5439,10.3644,10.8712,15.0739,15.4665
2015-10-17 17:30:00,1096,Hertha Berlin,Schalke 04,1,2,11.5439,11.6120,10.8712,10.7947,15.4665,15.9293
2015-10-24 20:30:00,1108,Hertha Berlin,Ingolstadt,1,0,11.612,11.6926,10.7947,10.6357,15.9293,15.9995
2015-10-31 18:30:00,1113,Hertha Berlin,Borussia M.Gladbach,1,4,11.6926,10.8466,10.6357,10.7962,15.9995,14.8970
2015-11-06 23:30:00,1120,Hertha Berlin,Hannover 96,3,1,10.8466,10.9135,10.7962,10.5498,14.897,14.7772
2015-11-22 18:30:00,1136,Hertha Berlin,Hoffenheim,1,0,10.9135,10.6689,10.5498,9.9981,14.7772,14.5897
2015-11-28 18:30:00,1142,Hertha Berlin,Bayern Munich,0,2,10.6689,10.5751,9.9981,9.4745,14.5897,15.4256
2015-12-05 18:30:00,1151,Hertha Berlin,Bayer Leverkusen,2,1,10.5751,10.5422,9.4745,9.1367,15.4256,15.4476
2015-12-12 18:30:00,1157,Hertha Berlin,Darmstadt,4,0,10.5422,11.2890,9.1367,9.3159,15.4476,15.7620
2015-12-20 18:30:00,1172,Hertha Berlin,Mainz 05,2,0,11.289,11.7491,9.3159,9.5919,15.762,15.9063
2016-01-23 18:30:00,1177,Hertha Berlin,Augsburg,0,0,11.7491,11.4526,9.5919,9.2790,15.9063,15.6261
2016-01-30 18:30:00,1188,Hertha Berlin,Werder Bremen,3,3,11.4526,10.7391,9.279,8.2974,15.6261,15.1806
2016-02-06 18:30:00,1196,Hertha Berlin,Borussia Dortmund,0,0,10.7391,10.5392,8.2974,8.2199,15.1806,14.8583
2016-02-13 18:30:00,1205,Hertha Berlin,VfB Stuttgart,0,2,10.5392,10.1157,8.2199,8.2602,14.8583,14.4709
2016-02-20 18:30:00,1212,Hertha Berlin,Wolfsburg,1,1,10.1157,9.4117,8.2602,7.5437,14.4709,13.7795
