Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-17 13:30:00,4756,Southampton,Liverpool,1,2,10,9.8750,10,10.1801,10,9.8199
2014-08-23 15:00:00,4762,Southampton,West Bromwich Albion,0,0,9.875,9.7500,10.1801,10.0551,9.8199,9.6949
2014-08-30 15:00:00,4774,Southampton,West Ham,3,1,9.75,10.3125,10.0551,10.3526,9.6949,10.0224
2014-09-13 15:00:00,4722,Southampton,Newcastle United,4,0,10.3125,11.1250,10.3526,10.4069,10.0224,10.5931
2014-09-20 15:00:00,4730,Southampton,Swansea,1,0,11.125,11.6719,10.4069,10.7613,10.5931,11.0825
2014-09-27 15:00:00,4741,Southampton,Queens Park Rangers,2,1,11.6719,11.1094,10.7613,10.4209,11.0825,10.0479
2014-10-05 14:05:00,4696,Southampton,Tottenham,0,1,11.1094,10.4532,10.4209,10.0764,10.0479,9.3299
2014-10-18 15:00:00,4703,Southampton,Sunderland,8,0,10.4532,12.0509,10.0764,10.3714,9.3299,10.2302
2014-10-25 15:00:00,4710,Southampton,Stoke,1,0,12.0509,11.8644,10.3714,10.0619,10.2302,9.9166
2014-11-01 15:00:00,4655,Southampton,Hull,1,0,11.8644,11.7814,10.0619,10.1409,9.9166,9.4215
2014-11-08 15:00:00,4663,Southampton,Leicester,2,0,11.7814,11.3754,10.1409,9.3511,9.4215,8.8993
2014-11-24 20:00:00,4678,Southampton,Aston Villa,1,1,11.3754,10.6024,9.3511,8.5108,8.8993,8.1936
2014-11-30 13:30:00,4687,Southampton,Manchester City,0,3,10.6024,9.5618,8.5108,7.8882,8.1936,7.4849
2014-12-03 19:45:00,4598,Southampton,Arsenal,0,1,9.5618,9.3374,7.8882,7.4632,7.4849,7.7110
2014-12-08 20:00:00,4608,Southampton,Manchester United,1,2,9.3374,9.4886,7.4632,8.1218,7.711,7.6048
2014-12-13 15:00:00,4609,Southampton,Burnley,0,1,9.4886,9.4554,8.1218,8.6679,7.6048,7.2424
2014-12-20 15:00:00,4623,Southampton,Everton,3,0,9.4554,10.1444,8.6679,9.0106,7.2424,7.5277
2014-12-26 15:00:00,4635,Southampton,Crystal Palace,3,1,10.1444,10.8240,9.0106,9.4210,7.5277,7.9764
2014-12-28 14:05:00,4640,Southampton,Chelsea,1,1,10.824,10.9632,9.421,9.5618,7.9764,8.1139
2015-01-01 15:00:00,4555,Southampton,Arsenal,2,0,10.9632,11.2901,9.5618,9.7800,8.1139,8.0495
2015-01-11 16:00:00,4570,Southampton,Manchester United,1,0,11.2901,11.7248,9.78,9.9559,8.0495,8.4930
2015-01-17 17:30:00,4577,Southampton,Newcastle United,2,1,11.7248,11.5999,9.9559,9.4748,8.493,8.4743
2015-02-01 16:00:00,4514,Southampton,Swansea,0,1,11.5999,10.6186,9.4748,9.0846,8.4743,7.1520
2015-02-07 15:00:00,4520,Southampton,Queens Park Rangers,1,0,10.6186,10.3804,9.0846,8.5798,7.152,6.9305
2015-02-11 19:45:00,4532,Southampton,West Ham,0,0,10.3804,10.1044,8.5798,8.6935,6.9305,6.2647
2015-02-22 16:15:00,4544,Southampton,Liverpool,0,2,10.1044,9.5458,8.6935,8.6783,6.2647,5.6627
2015-02-28 15:00:00,4546,Southampton,West Bromwich Albion,0,1,9.5458,9.2724,8.6783,8.5276,5.6627,5.5166
2015-03-03 19:45:00,4484,Southampton,Crystal Palace,1,0,9.2724,9.5528,8.5276,9.0170,5.5166,5.3380
2015-03-15 13:30:00,4499,Southampton,Chelsea,1,1,9.5528,9.8865,9.017,9.0094,5.338,6.0130
2015-03-21 15:00:00,4506,Southampton,Burnley,2,0,9.8865,10.2236,9.0094,9.0642,6.013,6.1324
2015-04-04 15:00:00,4441,Southampton,Everton,0,1,10.2236,10.0365,9.0642,9.0054,6.1324,6.0670
2015-04-11 15:00:00,4453,Southampton,Hull,2,0,10.0365,10.1853,9.0054,9.0633,6.067,5.8067
2015-04-18 15:00:00,4464,Southampton,Stoke,1,2,10.1853,9.9654,9.0633,8.8676,5.8067,5.8127
2015-04-25 12:45:00,4468,Southampton,Tottenham,2,2,9.9654,9.7507,8.8676,8.8684,5.8127,5.3825
2015-05-02 15:00:00,4402,Southampton,Sunderland,1,2,9.7507,9.1309,8.8684,8.2309,5.3825,5.0303
