2014-08-30 14:30:00,5460,119,Bayer Leverkusen,122,Hertha Berlin,4,2,2.53036,0.712547
2014-09-12 19:30:00,5411,119,Bayer Leverkusen,123,Werder Bremen,3,3,1.98321,1.72618
2014-09-21 14:30:00,5427,119,Bayer Leverkusen,131,Wolfsburg,1,4,0.616799,1.55879
2014-09-24 19:00:00,5434,119,Bayer Leverkusen,121,Augsburg,1,0,1.65235,0.571159
2014-09-27 14:30:00,5439,119,Bayer Leverkusen,135,Freiburg,0,0,1.17679,0.722358
2014-10-04 14:30:00,5387,119,Bayer Leverkusen,205,Paderborn,2,2,1.60118,1.12552
2014-10-18 14:30:00,5396,119,Bayer Leverkusen,133,VfB Stuttgart,3,3,1.86824,1.30466
2014-10-25 17:30:00,5407,119,Bayer Leverkusen,124,Schalke 04,1,0,0.837202,0.145365
2014-11-01 14:30:00,5351,119,Bayer Leverkusen,118,Hamburger SV,0,1,0.426376,1.33863
2014-11-08 14:30:00,5359,119,Bayer Leverkusen,125,Mainz 05,0,0,2.07319,0.293271
2014-11-22 14:30:00,5369,119,Bayer Leverkusen,128,Hannover 96,3,1,2.36608,0.780087
2014-11-29 14:30:00,5377,119,Bayer Leverkusen,134,FC Cologne,5,1,2.37812,0.950144
2014-12-06 17:30:00,5318,119,Bayer Leverkusen,117,Bayern Munich,0,1,0.389245,0.947473
2014-12-14 14:30:00,5328,119,Bayer Leverkusen,130,Borussia M.Gladbach,1,1,1.01373,1.15522
2014-12-17 19:00:00,5337,119,Bayer Leverkusen,120,Hoffenheim,1,0,2.17898,0.443131
2014-12-20 14:30:00,5343,119,Bayer Leverkusen,132,Eintracht Frankfurt,1,1,0.861769,1.45883
2015-01-31 17:30:00,5311,119,Bayer Leverkusen,129,Borussia Dortmund,0,0,0.341818,0.451401
2015-02-04 19:00:00,5269,119,Bayer Leverkusen,122,Hertha Berlin,1,0,1.06863,0.531751
2015-02-08 14:30:00,5278,119,Bayer Leverkusen,123,Werder Bremen,1,2,1.74921,0.885549
2015-02-14 14:30:00,5282,119,Bayer Leverkusen,131,Wolfsburg,4,5,1.98748,2.08631
2015-02-21 14:30:00,5291,119,Bayer Leverkusen,121,Augsburg,2,2,1.93428,1.92692
2015-02-28 14:30:00,5300,119,Bayer Leverkusen,135,Freiburg,1,0,0.57152,0.271169
2015-03-08 16:30:00,5241,119,Bayer Leverkusen,205,Paderborn,3,0,1.17926,0.755297
2015-03-13 19:30:00,5242,119,Bayer Leverkusen,133,VfB Stuttgart,4,0,1.59835,1.03528
2015-03-21 17:30:00,5257,119,Bayer Leverkusen,124,Schalke 04,1,0,1.3174,1.79663
2015-04-04 14:30:00,5199,119,Bayer Leverkusen,118,Hamburger SV,4,0,3.81979,0.35348
2015-04-11 14:30:00,5208,119,Bayer Leverkusen,125,Mainz 05,3,2,0.970257,2.21349
2015-04-18 14:30:00,5218,119,Bayer Leverkusen,128,Hannover 96,4,0,2.60733,0.326006
2015-04-25 14:30:00,5226,119,Bayer Leverkusen,134,FC Cologne,1,1,1.19204,1.30026
2015-05-02 17:30:00,5165,119,Bayer Leverkusen,117,Bayern Munich,2,0,1.12021,1.20915
2015-05-09 14:30:00,5171,119,Bayer Leverkusen,130,Borussia M.Gladbach,0,3,0.58536,2.05603
2015-05-16 14:30:00,5178,119,Bayer Leverkusen,120,Hoffenheim,2,0,1.17358,0.692454
2015-05-23 14:30:00,5188,119,Bayer Leverkusen,132,Eintracht Frankfurt,1,2,0.836413,1.11352
2014-08-23 17:30:00,5453,119,Bayer Leverkusen,129,Borussia Dortmund,2,0,1.14915,0.482324
2015-08-15 17:30:00,1022,119,Bayer Leverkusen,120,Hoffenheim,2,1,3.52773,0.483949
2015-08-22 17:30:00,1035,119,Bayer Leverkusen,128,Hannover 96,1,0,1.37365,0.0975496
2015-08-29 20:30:00,1045,119,Bayer Leverkusen,117,Bayern Munich,0,3,0.420202,3.52476
2015-09-12 17:30:00,1053,119,Bayer Leverkusen,127,Darmstadt,0,1,1.3554,0.284787
2015-09-20 19:30:00,1065,119,Bayer Leverkusen,129,Borussia Dortmund,0,3,0.927753,4.08165
2015-09-23 22:00:00,1072,119,Bayer Leverkusen,125,Mainz 05,1,0,1.74157,0.476793
2015-09-26 17:30:00,1079,119,Bayer Leverkusen,123,Werder Bremen,3,0,1.3026,0.326706
2015-10-04 19:30:00,1091,119,Bayer Leverkusen,121,Augsburg,1,1,1.98173,0.119117
2015-10-17 17:30:00,1098,119,Bayer Leverkusen,118,Hamburger SV,0,0,0.875048,0.469945
2015-10-24 17:30:00,1106,119,Bayer Leverkusen,133,VfB Stuttgart,4,3,2.87154,2.40291
2015-10-31 21:30:00,1117,119,Bayer Leverkusen,131,Wolfsburg,1,2,1.31846,2.11288
2015-11-07 18:30:00,1123,119,Bayer Leverkusen,134,FC Cologne,1,2,0.457253,2.03601
2015-11-21 18:30:00,1131,119,Bayer Leverkusen,132,Eintracht Frankfurt,3,1,1.67235,0.620149
2015-11-29 20:30:00,1145,119,Bayer Leverkusen,124,Schalke 04,1,1,2.13995,0.949254
2015-12-05 18:30:00,1151,119,Bayer Leverkusen,122,Hertha Berlin,1,2,1.2452,1.02556
